Linux 5.15.0-136-generic (qiang-gpu6) 	09/23/25 	_x86_64_	(10 CPU)

11:39:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:39:03     all   69.76    0.00   11.49    0.00    0.00    7.66    0.00    0.00    0.00   11.09
11:39:04     all   70.47    0.00   10.61    0.10    0.00    7.91    0.00    0.00    0.00   10.91
11:39:05     all   70.31    0.00    9.23    0.00    0.00    8.02    0.00    0.00    0.00   12.44
11:39:06     all   69.92    0.00    6.91    0.10    0.00    9.04    0.00    0.00    0.00   14.02
11:39:07     all   70.26    0.00    8.47    0.00    0.00    8.17    0.00    0.00    0.00   13.10
11:39:08     all   71.18    0.00    8.84    0.00    0.00    8.03    0.00    0.00    0.00   11.95
11:39:09     all   70.27    0.00   11.73    1.01    0.00    8.59    0.00    0.00    0.00    8.39
11:39:10     all   71.97    0.00    7.75    0.40    0.00    8.55    0.00    0.00    0.00   11.33
11:39:11     all   69.99    0.00    7.55    0.00    0.00    9.16    0.00    0.00    0.00   13.29
11:39:12     all   70.17    0.00    8.61    0.30    0.00    8.31    0.00    0.00    0.00   12.61
11:39:13     all   68.21    0.00    8.58    0.00    0.00    7.97    0.00    0.00    0.00   15.24
11:39:14     all   69.61    0.00    7.42    0.00    0.00    8.12    0.00    0.00    0.00   14.84
11:39:15     all   68.97    0.00    8.11    0.00    0.00    8.51    0.00    0.00    0.00   14.41
11:39:16     all   70.35    0.00    6.03    0.00    0.00    8.64    0.00    0.00    0.00   14.97
11:39:17     all   73.08    0.00    6.68    0.30    0.00    7.49    0.00    0.00    0.00   12.45
11:39:18     all   70.85    0.00    7.94    0.00    0.00    8.14    0.00    0.00    0.00   13.07
11:39:19     all   70.18    0.00    7.00    0.00    0.00    8.01    0.00    0.00    0.00   14.81
11:39:20     all   73.14    0.00    6.44    0.00    0.00    7.55    0.00    0.00    0.00   12.88
11:39:21     all   69.78    0.00    8.94    0.00    0.00    8.84    0.00    0.00    0.00   12.45
