Linux 5.15.0-136-generic (qiang-gpu6) 	09/11/25 	_x86_64_	(10 CPU)

18:06:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:06:06     all   43.81    0.00    5.34    0.00    0.00    7.25    0.00    0.00    0.00   43.61
18:06:07     all   43.04    0.00    5.95    0.10    0.00    7.66    0.00    0.00    0.00   43.25
18:06:08     all   42.52    0.00    4.58    0.10    0.00    7.43    0.00    0.00    0.00   45.37
18:06:09     all   45.61    0.00    4.84    0.00    0.00    7.87    0.00    0.00    0.00   41.68
18:06:10     all   44.56    0.00    4.94    0.00    0.00    7.76    0.00    0.00    0.00   42.74
18:06:11     all   56.87    0.00    5.76    0.00    0.00    7.47    0.00    0.00    0.00   29.90
18:06:12     all   44.59    0.00    5.21    0.10    0.00    8.22    0.00    0.00    0.00   41.88
18:06:13     all   44.58    0.00    4.36    0.10    0.00    7.40    0.00    0.00    0.00   43.57
18:06:14     all   43.62    0.00    5.26    0.00    0.00    7.59    0.00    0.00    0.00   43.52
18:06:15     all   43.20    0.00    4.06    0.00    0.00    7.40    0.00    0.00    0.00   45.33
18:06:16     all   43.67    0.00    5.88    0.00    0.00    7.58    0.00    0.00    0.00   42.87
18:06:17     all   43.76    0.00    5.28    0.10    0.00    7.61    0.00    0.00    0.00   43.25
18:06:18     all   44.10    0.00    4.14    0.10    0.00    7.57    0.00    0.00    0.00   44.10
18:06:19     all   43.44    0.00    4.48    0.00    0.00    7.73    0.00    0.00    0.00   44.35
18:06:20     all   44.62    0.00    4.36    0.00    0.00    7.81    0.00    0.00    0.00   43.20
18:06:21     all   44.00    0.00    6.70    0.00    0.00    8.10    0.00    0.00    0.00   41.20
18:06:22     all   44.52    0.00    4.26    0.10    0.00    7.71    0.00    0.00    0.00   43.41
18:06:23     all   43.28    0.00    4.75    0.10    0.00    7.28    0.00    0.00    0.00   44.59
18:06:24     all   44.32    0.00    5.68    0.00    0.00    7.71    0.00    0.00    0.00   42.29
18:06:25     all   42.76    0.00    4.86    0.00    0.00    7.90    0.00    0.00    0.00   44.48
18:06:26     all   43.88    0.00    5.66    0.00    0.00    6.98    0.00    0.00    0.00   43.48
18:06:27     all   45.18    0.00    5.12    0.00    0.00    7.63    0.00    0.00    0.00   42.07
18:06:28     all   44.03    0.00    3.74    0.20    0.00    8.00    0.00    0.00    0.00   44.03
18:06:29     all   42.81    0.00    5.16    0.00    0.00    7.39    0.00    0.00    0.00   44.64
18:06:30     all   44.75    0.00    5.15    0.00    0.00    7.47    0.00    0.00    0.00   42.63
18:06:31     all   44.87    0.00    4.53    0.00    0.00    7.44    0.00    0.00    0.00   43.16
18:06:32     all   43.81    0.00    5.78    0.00    0.00    7.51    0.00    0.00    0.00   42.90
18:06:33     all   43.46    0.00    5.03    0.10    0.00    7.44    0.00    0.00    0.00   43.96
18:06:34     all   43.43    0.00    5.32    0.00    0.00    7.72    0.00    0.00    0.00   43.53
18:06:35     all   44.68    0.00    4.32    0.00    0.00    8.03    0.00    0.00    0.00   42.97
18:06:36     all   44.99    0.00    5.26    0.00    0.00    7.28    0.00    0.00    0.00   42.47
18:06:37     all   44.88    0.00    4.56    0.00    0.00    7.70    0.00    0.00    0.00   42.86
18:06:38     all   43.25    0.00    4.74    0.00    0.00    7.86    0.00    0.00    0.00   44.15
18:06:39     all   43.59    0.00    5.65    0.00    0.00    7.37    0.00    0.00    0.00   43.39
18:06:40     all   44.31    0.00    6.04    0.00    0.00    7.65    0.00    0.00    0.00   41.99
18:06:41     all   44.32    0.00    4.42    0.00    0.00    7.84    0.00    0.00    0.00   43.42
18:06:42     all   43.25    0.00    5.18    0.00    0.00    8.53    0.00    0.00    0.00   43.05
18:06:43     all   42.48    0.00    4.88    0.10    0.00    7.52    0.00    0.00    0.00   45.02
18:06:44     all   43.39    0.00    4.51    0.00    0.00    7.72    0.00    0.00    0.00   44.39
18:06:45     all   43.74    0.00    5.15    0.00    0.00    7.78    0.00    0.00    0.00   43.33
18:06:46     all   45.36    0.00    4.33    0.00    0.00    7.16    0.00    0.00    0.00   43.15
18:06:47     all   44.32    0.00    5.17    0.00    0.00    7.51    0.00    0.00    0.00   43.00
18:06:48     all   43.96    0.00    4.16    0.20    0.00    7.21    0.00    0.00    0.00   44.47
18:06:49     all   42.96    0.00    5.43    0.00    0.00    7.85    0.00    0.00    0.00   43.76
18:06:50     all   42.96    0.00    5.84    0.00    0.00    7.85    0.00    0.00    0.00   43.36
18:06:51     all   43.71    0.00    4.77    0.10    0.00    7.40    0.00    0.00    0.00   44.02
18:06:52     all   44.92    0.00    5.08    0.00    0.00    7.42    0.00    0.00    0.00   42.58
