Linux 5.15.0-136-generic (qiang-gpu6) 	09/24/25 	_x86_64_	(10 CPU)

18:17:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:17:37     all   71.47    0.00   13.91    0.00    0.00    8.01    0.00    0.00    0.00    6.61
18:17:38     all   72.09    0.00   11.95    0.00    0.00    7.33    0.00    0.00    0.00    8.63
18:17:39     all   71.00    0.00   10.88    0.00    0.00    7.35    0.00    0.00    0.00   10.78
18:17:40     all   73.62    0.00   11.18    0.10    0.00    7.45    0.00    0.00    0.00    7.65
18:17:41     all   73.80    0.00   13.76    0.00    0.00    7.53    0.00    0.00    0.00    4.92
18:17:42     all   76.81    0.00    9.64    0.00    0.00    7.73    0.00    0.00    0.00    5.82
18:17:43     all   70.02    0.00   15.69    0.00    0.00    7.95    0.00    0.00    0.00    6.34
18:17:44     all   74.47    0.00   12.81    0.00    0.00    7.41    0.00    0.00    0.00    5.31
18:17:45     all   75.05    0.00    9.92    0.20    0.00    7.31    0.00    0.00    0.00    7.52
18:17:46     all   76.58    0.00    8.01    0.00    0.00    7.21    0.00    0.00    0.00    8.21
18:17:47     all   76.42    0.00    7.22    0.00    0.00    6.91    0.00    0.00    0.00    9.45
18:17:48     all   75.08    0.00    6.91    0.00    0.00    7.71    0.00    0.00    0.00   10.31
18:17:49     all   76.36    0.00    6.34    0.00    0.00    8.05    0.00    0.00    0.00    9.26
18:17:50     all   74.47    0.00    7.24    0.00    0.00    7.34    0.00    0.00    0.00   10.95
18:17:51     all   76.08    0.00    6.03    0.00    0.00    7.54    0.00    0.00    0.00   10.35
18:17:52     all   74.34    0.00    6.59    0.00    0.00    7.40    0.00    0.00    0.00   11.66
18:17:53     all   75.81    0.00    7.86    0.00    0.00    7.66    0.00    0.00    0.00    8.67
18:17:54     all   76.08    0.00    7.01    0.00    0.00    7.31    0.00    0.00    0.00    9.61
18:17:55     all   74.95    0.00    6.41    0.00    0.00    8.02    0.00    0.00    0.00   10.62
18:17:56     all   74.35    0.00    7.44    0.00    0.00    7.04    0.00    0.00    0.00   11.17
18:17:57     all   75.03    0.00    7.52    0.00    0.00    7.72    0.00    0.00    0.00    9.73
18:17:58     all   74.57    0.00    6.26    0.00    0.00    6.86    0.00    0.00    0.00   12.31
18:17:59     all   77.97    0.00    6.14    0.00    0.00    7.95    0.00    0.00    0.00    7.95
18:18:00     all   76.45    0.00    6.91    0.00    0.00    7.31    0.00    0.00    0.00    9.32
18:18:01     all   77.24    0.00    6.75    0.00    0.00    7.35    0.00    0.00    0.00    8.66
18:18:02     all   74.60    0.00    6.25    0.00    0.00    7.66    0.00    0.00    0.00   11.49
18:18:03     all   74.87    0.00    8.14    0.00    0.00    7.54    0.00    0.00    0.00    9.45
18:18:04     all   75.03    0.00    6.07    0.00    0.00    7.58    0.00    0.00    0.00   11.32
18:18:05     all   78.17    0.00    5.73    0.10    0.00    7.34    0.00    0.00    0.00    8.65
18:18:06     all   74.72    0.00    8.02    0.00    0.00    7.32    0.00    0.00    0.00    9.93
18:18:07     all   74.77    0.00    7.84    0.00    0.00    7.74    0.00    0.00    0.00    9.65
18:18:08     all   77.11    0.00    5.32    0.00    0.00    7.13    0.00    0.00    0.00   10.44
18:18:09     all   73.74    0.00    6.67    0.00    0.00    7.47    0.00    0.00    0.00   12.12
18:18:10     all   75.88    0.00    6.41    0.10    0.00    7.41    0.00    0.00    0.00   10.21
18:18:11     all   72.18    0.00    6.35    0.00    0.00    8.27    0.00    0.00    0.00   13.21
18:18:12     all   76.36    0.00    6.14    0.00    0.00    7.85    0.00    0.00    0.00    9.66
18:18:13     all   76.10    0.00    7.63    0.00    0.00    7.63    0.00    0.00    0.00    8.63
18:18:14     all   78.09    0.00    6.03    0.00    0.00    7.54    0.00    0.00    0.00    8.34
18:18:15     all   77.73    0.00    5.32    0.10    0.00    7.82    0.00    0.00    0.00    9.03
18:18:16     all   74.43    0.00    8.19    0.00    0.00    7.99    0.00    0.00    0.00    9.39
18:18:17     all   76.02    0.00    7.49    0.00    0.00    7.49    0.00    0.00    0.00    8.99
18:18:18     all   76.74    0.00    5.94    0.00    0.00    7.55    0.00    0.00    0.00    9.77
18:18:19     all   76.75    0.00    5.51    0.00    0.00    7.72    0.00    0.00    0.00   10.02
18:18:20     all   76.61    0.00    6.22    0.10    0.00    7.43    0.00    0.00    0.00    9.64
18:18:21     all   74.30    0.00    6.63    0.00    0.00    6.93    0.00    0.00    0.00   12.15
18:18:22     all   76.18    0.00    6.21    0.00    0.00    8.11    0.00    0.00    0.00    9.51
18:18:23     all   76.49    0.00    6.46    0.00    0.00    8.07    0.00    0.00    0.00    8.98
18:18:24     all   78.82    0.00    5.52    0.00    0.00    7.63    0.00    0.00    0.00    8.03
18:18:25     all   76.73    0.00    6.52    0.00    0.00    7.92    0.00    0.00    0.00    8.83
18:18:26     all   75.86    0.00    7.88    0.00    0.00    7.37    0.00    0.00    0.00    8.89
18:18:27     all   76.06    0.00    8.38    0.00    0.00    7.58    0.00    0.00    0.00    7.98
18:18:28     all   78.88    0.00    5.81    0.00    0.00    7.31    0.00    0.00    0.00    8.01
18:18:29     all   75.93    0.00    6.55    0.00    0.00    7.25    0.00    0.00    0.00   10.27
18:18:30     all   74.42    0.00    6.95    0.00    0.00    7.85    0.00    0.00    0.00   10.78
18:18:31     all   75.30    0.00    7.13    0.00    0.00    7.53    0.00    0.00    0.00   10.04
18:18:32     all   77.15    0.00    6.31    0.00    0.00    7.21    0.00    0.00    0.00    9.32
18:18:33     all   78.28    0.00    7.41    0.00    0.00    7.51    0.00    0.00    0.00    6.81
18:18:34     all   76.20    0.00    7.10    0.00    0.00    7.80    0.00    0.00    0.00    8.90
18:18:35     all   75.71    0.00    6.15    0.10    0.00    7.56    0.00    0.00    0.00   10.48
18:18:36     all   73.87    0.00    8.04    0.00    0.00    7.84    0.00    0.00    0.00   10.25
18:18:37     all   76.29    0.00    7.54    0.00    0.00    7.54    0.00    0.00    0.00    8.63
18:18:38     all   77.04    0.00    6.65    0.00    0.00    7.75    0.00    0.00    0.00    8.56
18:18:39     all   76.48    0.00    5.53    0.00    0.00    7.14    0.00    0.00    0.00   10.85
18:18:40     all   74.25    0.00    6.44    0.10    0.00    7.75    0.00    0.00    0.00   11.47
18:18:41     all   76.38    0.00    6.01    0.00    0.00    7.41    0.00    0.00    0.00   10.21
18:18:42     all   75.25    0.00    7.11    0.00    0.00    7.82    0.00    0.00    0.00    9.82
18:18:43     all   75.28    0.00    6.83    0.00    0.00    7.84    0.00    0.00    0.00   10.05
18:18:44     all   73.77    0.00    8.21    0.00    0.00    7.61    0.00    0.00    0.00   10.41
18:18:45     all   76.81    0.00    6.35    0.20    0.00    7.46    0.00    0.00    0.00    9.17
18:18:46     all   76.13    0.00    7.32    0.00    0.00    7.62    0.00    0.00    0.00    8.93
18:18:47     all   76.55    0.00    6.31    0.00    0.00    7.52    0.00    0.00    0.00    9.62
18:18:48     all   75.53    0.00    7.42    0.00    0.00    7.32    0.00    0.00    0.00    9.73
18:18:49     all   76.93    0.00    6.12    0.00    0.00    7.42    0.00    0.00    0.00    9.53
18:18:50     all   75.10    0.00    5.85    0.10    0.00    7.66    0.00    0.00    0.00   11.29
18:18:51     all   76.35    0.00    6.51    0.00    0.00    7.92    0.00    0.00    0.00    9.22
18:18:52     all   75.02    0.00    5.89    0.00    0.00    7.79    0.00    0.00    0.00   11.29
18:18:53     all   75.15    0.00    7.41    0.00    0.00    7.52    0.00    0.00    0.00    9.92
18:18:54     all   75.05    0.00    8.62    0.00    0.00    7.41    0.00    0.00    0.00    8.92
18:18:55     all   76.85    0.00    5.66    0.10    0.00    7.08    0.00    0.00    0.00   10.31
18:18:56     all   75.90    0.00    7.03    0.00    0.00    7.83    0.00    0.00    0.00    9.24
18:18:57     all   77.66    0.00    5.51    0.00    0.00    7.92    0.00    0.00    0.00    8.92
18:18:58     all   74.90    0.00    6.85    0.00    0.00    7.86    0.00    0.00    0.00   10.38
18:18:59     all   79.64    0.00    5.34    0.00    0.00    7.36    0.00    0.00    0.00    7.66
18:19:00     all   74.18    0.00    6.58    0.10    0.00    7.68    0.00    0.00    0.00   11.47
18:19:01     all   73.69    0.00    7.56    0.00    0.00    7.56    0.00    0.00    0.00   11.19
18:19:02     all   77.21    0.00    6.43    0.00    0.00    7.13    0.00    0.00    0.00    9.24
18:19:03     all   76.41    0.00    6.22    0.00    0.00    7.33    0.00    0.00    0.00   10.04
18:19:04     all   76.76    0.00    7.95    0.00    0.00    7.55    0.00    0.00    0.00    7.75
18:19:05     all   74.65    0.00    7.04    0.00    0.00    7.14    0.00    0.00    0.00   11.17
18:19:06     all   76.12    0.00    7.19    0.00    0.00    7.59    0.00    0.00    0.00    9.09
18:19:07     all   78.38    0.00    7.41    0.00    0.00    7.01    0.00    0.00    0.00    7.21
18:19:08     all   76.13    0.00    6.95    0.00    0.00    7.35    0.00    0.00    0.00    9.57
18:19:09     all   77.22    0.00    5.14    0.00    0.00    7.06    0.00    0.00    0.00   10.58
18:19:10     all   77.00    0.00    6.80    0.00    0.00    7.20    0.00    0.00    0.00    9.00
18:19:11     all   76.88    0.00    6.13    0.00    0.00    7.74    0.00    0.00    0.00    9.25
18:19:12     all   77.04    0.00    5.74    0.00    0.00    7.55    0.00    0.00    0.00    9.67
18:19:13     all   75.25    0.00    5.63    0.00    0.00    7.44    0.00    0.00    0.00   11.67
18:19:14     all   76.56    0.00    6.94    0.00    0.00    7.85    0.00    0.00    0.00    8.65
18:19:15     all   75.05    0.00    6.91    0.00    0.00    7.52    0.00    0.00    0.00   10.52
18:19:16     all   73.63    0.00    7.61    0.00    0.00    7.00    0.00    0.00    0.00   11.76
18:19:17     all   78.02    0.00    6.35    0.00    0.00    7.36    0.00    0.00    0.00    8.27
18:19:18     all   75.75    0.00    7.09    0.00    0.00    7.09    0.00    0.00    0.00   10.08
18:19:19     all   73.03    0.00    7.69    0.00    0.00    7.39    0.00    0.00    0.00   11.89
18:19:20     all   75.30    0.00    6.75    0.10    0.00    6.85    0.00    0.00    0.00   10.99
18:19:21     all   75.70    0.00    7.23    0.00    0.00    7.43    0.00    0.00    0.00    9.64
18:19:22     all   76.62    0.00    6.07    0.00    0.00    6.98    0.00    0.00    0.00   10.32
18:19:23     all   73.01    0.00    6.65    0.00    0.00    8.06    0.00    0.00    0.00   12.29
18:19:24     all   75.25    0.00    8.88    0.00    0.00    7.49    0.00    0.00    0.00    8.38
18:19:25     all   75.00    0.00    5.75    0.10    0.00    7.16    0.00    0.00    0.00   12.00
18:19:26     all   76.56    0.00    7.34    0.00    0.00    7.55    0.00    0.00    0.00    8.55
18:19:27     all   76.32    0.10    7.79    0.00    0.00    6.58    0.00    0.00    0.00    9.21
18:19:28     all   76.13    0.00    8.02    0.00    0.00    8.02    0.00    0.00    0.00    7.82
18:19:29     all   73.37    0.00    6.73    0.00    0.00    7.34    0.00    0.00    0.00   12.56
