[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 36°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 37°C,   0 % |    13 / 49152 MB
[0] Quadro RTX 8000 | 37°C,   0 % |    13 / 49152 MB
[0] Quadro RTX 8000 | 38°C,   0 % |    21 / 49152 MB
[0] Quadro RTX 8000 | 38°C,   2 % |   175 / 49152 MB
[0] Quadro RTX 8000 | 38°C,   3 % |   191 / 49152 MB
[0] Quadro RTX 8000 | 38°C,   3 % |   321 / 49152 MB
[0] Quadro RTX 8000 | 38°C,   4 % |   625 / 49152 MB
[0] Quadro RTX 8000 | 39°C,   7 % |   631 / 49152 MB
[0] Quadro RTX 8000 | 39°C,  17 % |   981 / 49152 MB
[0] Quadro RTX 8000 | 39°C,  17 % |  1277 / 49152 MB
[0] Quadro RTX 8000 | 39°C,  11 % |  1391 / 49152 MB
[0] Quadro RTX 8000 | 39°C,   5 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 39°C,   1 % |  1403 / 49152 MB
[0] Quadro RTX 8000 | 39°C,   1 % |  1411 / 49152 MB
[0] Quadro RTX 8000 | 39°C,   8 % |  1635 / 49152 MB
[0] Quadro RTX 8000 | 39°C,   4 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 39°C,   4 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 39°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 39°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 39°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 39°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |  1671 / 49152 MB
