[0] Quadro RTX 8000 | 53°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |    13 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |   165 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   2 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   4 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   4 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |   291 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   4 % |   523 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   4 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   4 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   4 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 56°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 56°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 56°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 56°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 56°C,   0 % |   559 / 49152 MB
