Linux 5.15.0-136-generic (qiang-gpu6) 	09/12/25 	_x86_64_	(10 CPU)

18:21:30     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:21:31     all   15.12    0.00    6.23    0.00    0.00    8.58    0.00    0.00    0.00   70.07
18:21:32     all   17.98    0.00    9.81    0.00    0.00    8.27    0.00    0.00    0.00   63.94
18:21:33     all   17.28    0.00    4.67    0.00    0.00    8.23    0.00    0.00    0.00   69.82
18:21:34     all   16.95    0.00    4.54    0.00    0.00    8.17    0.00    0.00    0.00   70.33
18:21:35     all   17.76    0.00    4.54    0.40    0.00    8.58    0.00    0.00    0.00   68.72
18:21:36     all   17.65    0.00    6.09    0.00    0.00    8.01    0.00    0.00    0.00   68.26
18:21:37     all   15.38    0.00    5.09    0.00    0.00    8.96    0.00    0.00    0.00   70.57
18:21:38     all   15.75    0.00    4.60    0.00    0.00    8.08    0.00    0.00    0.00   71.57
18:21:39     all   17.36    0.00    3.53    0.00    0.00    8.58    0.00    0.00    0.00   70.53
18:21:40     all   17.21    0.00    3.74    0.30    0.00    8.40    0.00    0.00    0.00   70.34
18:21:41     all   16.45    0.00    3.68    0.00    0.00    8.48    0.00    0.00    0.00   71.40
18:21:42     all   17.34    0.00    5.58    0.00    0.00    8.32    0.00    0.00    0.00   68.76
18:21:43     all   16.84    0.00    3.85    0.00    0.00    8.01    0.00    0.00    0.00   71.30
18:21:44     all   16.48    0.00    4.20    0.00    0.00    9.01    0.00    0.00    0.00   70.32
18:21:45     all   15.89    0.00    4.48    0.10    0.00    8.55    0.00    0.00    0.00   70.98
18:21:46     all   20.30    0.00    6.36    0.00    0.00    9.29    0.00    0.00    0.00   64.04
18:21:47     all   15.57    0.00    3.94    0.00    0.00    8.39    0.00    0.00    0.00   72.09
18:21:48     all   15.42    0.00    4.32    0.00    0.00    7.71    0.00    0.00    0.00   72.56
18:21:49     all   17.22    0.00    4.53    0.00    0.00    8.06    0.00    0.00    0.00   70.19
18:21:50     all   17.80    0.00    4.27    0.20    0.00    8.65    0.00    0.00    0.00   69.07
18:21:51     all   16.82    0.00    4.89    0.00    0.00    7.95    0.00    0.00    0.00   70.34
18:21:52     all   17.48    0.00    5.62    0.00    0.00    8.79    0.00    0.00    0.00   68.10
18:21:53     all   15.85    0.00    3.78    0.00    0.00    8.28    0.00    0.00    0.00   72.09
18:21:54     all   17.23    0.00    4.18    0.00    0.00    8.87    0.00    0.00    0.00   69.72
18:21:55     all   16.87    0.00    4.29    0.20    0.00    8.49    0.00    0.00    0.00   70.14
18:21:56     all   18.50    0.00    6.40    0.00    0.00    8.03    0.00    0.00    0.00   67.07
18:21:57     all   17.21    0.00    5.26    0.00    0.00    7.29    0.00    0.00    0.00   70.24
18:21:58     all   16.67    0.00    5.08    0.00    0.00    8.74    0.00    0.00    0.00   69.51
18:21:59     all   16.29    0.00    4.82    0.00    0.00    8.30    0.00    0.00    0.00   70.59
18:22:00     all   16.22    0.00    5.71    0.31    0.00    8.57    0.00    0.00    0.00   69.18
18:22:01     all   16.44    0.00    4.52    0.00    0.00    8.02    0.00    0.00    0.00   71.02
18:22:02     all   16.15    0.00    6.07    0.00    0.00    8.02    0.00    0.00    0.00   69.75
18:22:03     all   16.79    0.00    4.71    0.00    0.00    8.80    0.00    0.00    0.00   69.70
18:22:04     all   15.63    0.00    4.77    0.00    0.00    8.43    0.00    0.00    0.00   71.17
18:22:05     all   16.45    0.00    4.37    0.30    0.00    8.53    0.00    0.00    0.00   70.36
18:22:06     all   19.31    0.00    5.89    0.00    0.00    8.64    0.00    0.00    0.00   66.16
18:22:07     all   18.45    0.00    4.99    0.00    0.00    8.26    0.00    0.00    0.00   68.30
18:22:08     all   16.21    0.00    4.96    0.00    0.00    8.21    0.00    0.00    0.00   70.62
18:22:09     all   16.60    0.00    4.76    0.00    0.00    7.69    0.00    0.00    0.00   70.95
18:22:10     all   16.09    0.00    5.09    0.31    0.00    8.86    0.00    0.00    0.00   69.65
18:22:11     all   15.82    0.00    4.46    0.00    0.00    8.92    0.00    0.00    0.00   70.79
18:22:12     all   16.22    0.00    5.82    0.00    0.00    8.98    0.00    0.00    0.00   68.98
18:22:13     all   16.53    0.00    3.72    0.00    0.00    8.06    0.00    0.00    0.00   71.69
18:22:14     all   16.19    0.00    3.79    0.00    0.00    8.30    0.00    0.00    0.00   71.72
18:22:15     all   16.51    0.00    4.18    0.20    0.00    8.15    0.00    0.00    0.00   70.95
18:22:16     all   18.89    0.00    5.96    0.00    0.00    8.18    0.00    0.00    0.00   66.97
18:22:17     all   18.29    0.00    5.49    0.00    0.00    8.13    0.00    0.00    0.00   68.09
18:22:18     all   16.45    0.00    4.37    0.00    0.00    8.43    0.00    0.00    0.00   70.76
18:22:19     all   16.65    0.00    4.77    0.00    0.00    8.32    0.00    0.00    0.00   70.25
18:22:20     all   16.34    0.00    3.47    0.41    0.00    7.76    0.00    0.00    0.00   72.01
18:22:21     all   16.24    0.00    4.93    0.00    0.00    8.74    0.00    0.00    0.00   70.09
18:22:22     all   17.11    0.00    5.30    0.00    0.00    8.66    0.00    0.00    0.00   68.94
18:22:23     all   16.50    0.00    5.12    0.00    0.00    8.30    0.00    0.00    0.00   70.08
18:22:24     all   16.95    0.00    4.74    0.00    0.00    8.48    0.00    0.00    0.00   69.83
18:22:25     all   17.90    0.00    3.64    0.30    0.00    8.19    0.00    0.00    0.00   69.97
18:22:26     all   19.53    0.00    5.97    0.00    0.00    8.20    0.00    0.00    0.00   66.30
18:22:27     all   16.60    0.00    5.09    0.00    0.00    7.74    0.00    0.00    0.00   70.57
18:22:28     all   16.34    0.00    4.29    0.00    0.00    8.99    0.00    0.00    0.00   70.38
18:22:29     all   17.74    0.00    4.13    0.00    0.00    8.57    0.00    0.00    0.00   69.56
18:22:30     all   17.17    0.00    5.59    0.30    0.00    8.23    0.00    0.00    0.00   68.70
18:22:31     all   16.58    0.00    4.65    0.00    0.00    7.99    0.00    0.00    0.00   70.78
18:22:32     all   17.04    0.00    5.58    0.00    0.00    8.42    0.00    0.00    0.00   68.97
18:22:33     all   17.31    0.00    4.15    0.00    0.00    8.20    0.00    0.00    0.00   70.34
18:22:34     all   16.44    0.00    4.21    0.00    0.00    8.43    0.00    0.00    0.00   70.91
18:22:35     all   17.16    0.00    3.37    0.20    0.00    8.38    0.00    0.00    0.00   70.89
18:22:36     all   17.13    0.00    4.92    0.00    0.00    8.51    0.00    0.00    0.00   69.44
18:22:37     all   18.00    0.00    6.03    0.00    0.00    8.79    0.00    0.00    0.00   67.18
18:22:38     all   15.68    0.00    4.07    0.00    0.00    7.84    0.00    0.00    0.00   72.40
18:22:39     all   16.99    0.00    4.48    0.00    0.00    7.93    0.00    0.00    0.00   70.60
18:22:40     all   16.84    0.00    4.97    0.20    0.00    8.22    0.00    0.00    0.00   69.78
18:22:41     all   16.77    0.00    4.29    0.00    0.00    8.38    0.00    0.00    0.00   70.55
18:22:42     all   16.38    0.00    5.56    0.00    0.00    7.28    0.00    0.00    0.00   70.78
18:22:43     all   17.52    0.00    4.18    0.00    0.00    7.74    0.00    0.00    0.00   70.57
18:22:44     all   15.50    0.00    3.75    0.00    0.00    8.41    0.00    0.00    0.00   72.34
18:22:45     all   15.92    0.00    5.17    0.20    0.00    9.13    0.00    0.00    0.00   69.57
18:22:46     all   16.57    0.00    5.49    0.00    0.00    7.83    0.00    0.00    0.00   70.12
18:22:47     all   19.32    0.00    5.24    0.00    0.00    8.94    0.00    0.00    0.00   66.50
18:22:48     all   17.28    0.00    4.98    0.00    0.00    8.23    0.00    0.00    0.00   69.51
18:22:49     all   17.80    0.00    3.66    0.00    0.00    8.14    0.00    0.00    0.00   70.40
18:22:50     all   16.17    0.00    4.37    0.20    0.00    7.93    0.00    0.00    0.00   71.31
18:22:51     all   17.18    0.00    3.70    0.00    0.00    8.33    0.00    0.00    0.00   70.78
18:22:52     all   16.99    0.00    5.80    0.00    0.00    8.44    0.00    0.00    0.00   68.77
18:22:53     all   17.06    0.00    5.34    0.00    0.00    8.32    0.00    0.00    0.00   69.27
18:22:54     all   16.41    0.00    4.05    0.00    0.00    8.11    0.00    0.00    0.00   71.43
18:22:55     all   16.41    0.00    4.93    0.30    0.00    8.56    0.00    0.00    0.00   69.79
18:22:56     all   16.65    0.00    4.19    0.00    0.00    7.56    0.00    0.00    0.00   71.60
18:22:57     all   20.39    0.00    4.87    0.00    0.00    7.71    0.00    0.00    0.00   67.04
18:22:58     all   16.65    0.00    4.84    0.00    0.00    8.78    0.00    0.00    0.00   69.73
18:22:59     all   16.85    0.00    5.55    0.00    0.00    8.78    0.00    0.00    0.00   68.82
18:23:00     all   17.60    0.00    5.09    0.20    0.00    8.85    0.00    0.00    0.00   68.26
18:23:01     all   16.21    0.00    5.50    0.00    0.00    8.66    0.00    0.00    0.00   69.62
18:23:02     all   16.31    0.00    5.81    0.00    0.00    8.15    0.00    0.00    0.00   69.72
18:23:03     all   16.21    0.00    5.61    0.00    0.00    7.95    0.00    0.00    0.00   70.23
18:23:04     all   16.94    0.00    3.98    0.00    0.00    8.06    0.00    0.00    0.00   71.02
18:23:05     all   16.70    0.00    3.67    0.31    0.00    8.15    0.00    0.00    0.00   71.18
18:23:06     all   16.94    0.00    4.18    0.00    0.00    7.96    0.00    0.00    0.00   70.92
18:23:07     all   19.90    0.00    4.69    0.00    0.00    7.96    0.00    0.00    0.00   67.45
18:23:08     all   15.47    0.00    4.20    0.00    0.00    8.81    0.00    0.00    0.00   71.52
18:23:09     all   15.54    0.00    4.04    0.00    0.00    8.68    0.00    0.00    0.00   71.75
18:23:10     all   17.21    0.00    4.15    0.40    0.00    8.10    0.00    0.00    0.00   70.14
18:23:11     all   17.77    0.00    4.19    0.00    0.00    8.27    0.00    0.00    0.00   69.77
18:23:12     all   16.33    0.00    6.33    0.00    0.00    8.57    0.00    0.00    0.00   68.78
18:23:13     all   16.51    0.00    4.05    0.00    0.00    8.51    0.00    0.00    0.00   70.92
18:23:14     all   16.62    0.00    4.38    0.00    0.00    8.26    0.00    0.00    0.00   70.74
18:23:15     all   16.80    0.00    4.55    0.40    0.00    8.30    0.00    0.00    0.00   69.94
18:23:16     all   17.02    0.00    4.49    0.00    0.00    7.54    0.00    0.00    0.00   70.95
18:23:17     all   17.34    0.00    6.30    0.00    0.00    8.36    0.00    0.00    0.00   68.01
18:23:18     all   17.99    0.00    4.67    0.00    0.00    8.54    0.00    0.00    0.00   68.80
18:23:19     all   17.64    0.00    4.69    0.00    0.00    8.36    0.00    0.00    0.00   69.32
18:23:20     all   15.73    0.00    5.41    0.31    0.00    8.27    0.00    0.00    0.00   70.28
18:23:21     all   17.31    0.00    3.95    0.00    0.00    8.30    0.00    0.00    0.00   70.45
18:23:22     all   17.26    0.00    5.18    0.00    0.00    8.22    0.00    0.00    0.00   69.34
18:23:23     all   16.62    0.00    4.89    0.00    0.00    7.54    0.00    0.00    0.00   70.95
18:23:24     all   18.71    0.00    5.03    0.00    0.00    9.15    0.00    0.00    0.00   67.10
18:23:25     all   16.12    0.00    3.37    0.20    0.00    8.47    0.00    0.00    0.00   71.84
18:23:26     all   17.13    0.00    4.51    0.00    0.00    8.31    0.00    0.00    0.00   70.05
18:23:27     all   16.26    0.00    3.78    0.00    0.00    8.28    0.00    0.00    0.00   71.68
18:23:28     all   19.72    0.00    6.30    0.00    0.00    8.13    0.00    0.00    0.00   65.85
18:23:29     all   16.02    0.00    5.10    0.00    0.00    8.78    0.00    0.00    0.00   70.10
18:23:30     all   16.51    0.00    4.26    0.30    0.00    8.31    0.00    0.00    0.00   70.62
18:23:31     all   18.55    0.00    4.74    0.00    0.00    8.77    0.00    0.00    0.00   67.94
18:23:32     all   16.36    0.00    5.76    0.00    0.00    8.38    0.00    0.00    0.00   69.49
18:23:33     all   16.67    0.00    4.84    0.00    0.00    8.02    0.00    0.00    0.00   70.47
18:23:34     all   15.75    0.00    4.29    0.00    0.00    8.18    0.00    0.00    0.00   71.78
18:23:35     all   16.82    0.00    4.59    0.31    0.00    7.95    0.00    0.00    0.00   70.34
18:23:36     all   16.97    0.00    4.81    0.00    0.00    7.67    0.00    0.00    0.00   70.55
18:23:37     all   16.73    0.00    3.98    0.00    0.00    8.06    0.00    0.00    0.00   71.22
18:23:38     all   19.59    0.00    6.33    0.00    0.00    7.96    0.00    0.00    0.00   66.12
18:23:39     all   15.88    0.00    4.30    0.00    0.00    8.50    0.00    0.00    0.00   71.31
18:23:40     all   16.19    0.00    4.64    0.31    0.00    8.35    0.00    0.00    0.00   70.52
18:23:41     all   17.06    0.00    4.97    0.00    0.00    8.12    0.00    0.00    0.00   69.85
18:23:42     all   16.48    0.00    5.22    0.00    0.00    8.60    0.00    0.00    0.00   69.70
18:23:43     all   16.90    0.00    4.76    0.00    0.00    8.20    0.00    0.00    0.00   70.14
18:23:44     all   16.79    0.00    4.88    0.00    0.00    7.63    0.00    0.00    0.00   70.70
18:23:45     all   16.63    0.00    4.11    0.31    0.00    8.32    0.00    0.00    0.00   70.64
18:23:46     all   16.92    0.00    4.86    0.00    0.00    7.80    0.00    0.00    0.00   70.42
18:23:47     all   17.12    0.00    3.24    0.00    0.00    8.31    0.00    0.00    0.00   71.33
18:23:48     all   19.68    0.00    6.66    0.00    0.00    8.78    0.00    0.00    0.00   64.88
18:23:49     all   16.30    0.00    4.66    0.00    0.00    8.70    0.00    0.00    0.00   70.34
18:23:50     all   15.81    0.00    4.34    0.31    0.00    8.26    0.00    0.00    0.00   71.28
18:23:51     all   16.38    0.00    3.94    0.00    0.00    8.29    0.00    0.00    0.00   71.39
18:23:52     all   16.90    0.00    4.96    0.00    0.00    7.89    0.00    0.00    0.00   70.24
18:23:53     all   17.57    0.00    4.72    0.00    0.00    9.04    0.00    0.00    0.00   68.67
18:23:54     all   16.94    0.00    5.07    0.00    0.00    8.11    0.00    0.00    0.00   69.88
18:23:55     all   16.90    0.00    4.35    0.40    0.00    8.10    0.00    0.00    0.00   70.24
18:23:56     all   17.06    0.00    4.60    0.00    0.00    8.78    0.00    0.00    0.00   69.56
18:23:57     all   17.00    0.00    4.23    0.00    0.00    7.75    0.00    0.00    0.00   71.03
18:23:58     all   18.86    0.00    6.32    0.00    0.00    8.73    0.00    0.00    0.00   66.10
18:23:59     all   17.07    0.00    4.85    0.00    0.00    8.79    0.00    0.00    0.00   69.29
18:24:00     all   18.25    0.10    5.04    0.20    0.00    8.77    0.00    0.00    0.00   67.64
18:24:01     all   16.53    0.00    4.97    0.00    0.00    8.62    0.00    0.00    0.00   69.88
18:24:02     all   17.29    0.00    5.60    0.00    0.00    8.85    0.00    0.00    0.00   68.26
18:24:03     all   16.89    0.00    4.17    0.00    0.00    8.85    0.00    0.00    0.00   70.09
18:24:04     all   16.27    0.00    3.99    0.00    0.00    8.19    0.00    0.00    0.00   71.55
18:24:05     all   17.89    0.00    3.58    0.20    0.00    8.49    0.00    0.00    0.00   69.84
18:24:06     all   16.31    0.00    5.57    0.00    0.00    8.51    0.00    0.00    0.00   69.60
18:24:07     all   16.48    0.00    4.07    0.00    0.00    8.65    0.00    0.00    0.00   70.80
18:24:08     all   16.21    0.00    4.92    0.00    0.00    7.90    0.00    0.00    0.00   70.97
18:24:09     all   18.22    0.00    5.63    0.00    0.00    8.50    0.00    0.00    0.00   67.66
18:24:10     all   16.57    0.00    4.47    0.20    0.00    8.74    0.00    0.00    0.00   70.02
18:24:11     all   17.11    0.00    4.68    0.00    0.00    7.54    0.00    0.00    0.00   70.67
18:24:12     all   17.06    0.00    5.58    0.00    0.00    8.22    0.00    0.00    0.00   69.14
18:24:13     all   16.68    0.00    4.65    0.00    0.00    7.58    0.00    0.00    0.00   71.08
18:24:14     all   17.09    0.00    4.75    0.00    0.00    8.59    0.00    0.00    0.00   69.57
18:24:15     all   15.63    0.00    3.55    0.51    0.00    8.73    0.00    0.00    0.00   71.57
18:24:16     all   16.87    0.00    3.89    0.00    0.00    8.08    0.00    0.00    0.00   71.17
18:24:17     all   17.43    0.00    4.51    0.00    0.00    8.12    0.00    0.00    0.00   69.94
18:24:18     all   17.50    0.00    4.17    0.00    0.00    8.44    0.00    0.00    0.00   69.89
18:24:19     all   19.01    0.00    5.97    0.00    0.00    7.68    0.00    0.00    0.00   67.34
18:24:20     all   16.94    0.00    4.11    0.21    0.00    8.42    0.00    0.00    0.00   70.33
18:24:21     all   16.41    0.00    4.96    0.00    0.00    8.92    0.00    0.00    0.00   69.71
18:24:22     all   17.49    0.00    5.16    0.00    0.00    8.19    0.00    0.00    0.00   69.16
18:24:23     all   16.65    0.00    5.62    0.00    0.00    8.02    0.00    0.00    0.00   69.71
18:24:24     all   17.50    0.00    4.27    0.00    0.00    8.75    0.00    0.00    0.00   69.48
18:24:25     all   17.02    0.00    4.89    0.31    0.00    7.95    0.00    0.00    0.00   69.83
18:24:26     all   17.26    0.00    3.86    0.00    0.00    8.83    0.00    0.00    0.00   70.05
18:24:27     all   17.53    0.00    4.49    0.00    0.00    7.75    0.00    0.00    0.00   70.23
18:24:28     all   16.38    0.00    4.58    0.00    0.00    8.65    0.00    0.00    0.00   70.40
18:24:29     all   18.89    0.00    6.26    0.00    0.00    8.32    0.00    0.00    0.00   66.53
18:24:30     all   17.33    0.00    4.38    0.31    0.00    8.26    0.00    0.00    0.00   69.72
18:24:31     all   16.68    0.00    4.91    0.00    0.00    7.98    0.00    0.00    0.00   70.42
18:24:32     all   16.98    0.00    5.14    0.00    0.00    8.54    0.00    0.00    0.00   69.34
18:24:33     all   17.11    0.00    4.25    0.00    0.00    8.40    0.00    0.00    0.00   70.24
18:24:34     all   16.65    0.00    4.94    0.00    0.00    8.07    0.00    0.00    0.00   70.33
18:24:35     all   16.68    0.00    4.74    0.21    0.00    8.34    0.00    0.00    0.00   70.03
18:24:36     all   17.51    0.00    4.35    0.00    0.00    8.20    0.00    0.00    0.00   69.94
18:24:37     all   17.30    0.00    4.33    0.00    0.00    8.35    0.00    0.00    0.00   70.02
18:24:38     all   18.62    0.00    4.58    0.00    0.00    7.32    0.00    0.00    0.00   69.48
18:24:39     all   17.58    0.00    3.96    0.00    0.00    8.84    0.00    0.00    0.00   69.61
18:24:40     all   17.77    0.00    4.70    0.31    0.00    8.27    0.00    0.00    0.00   68.95
18:24:41     all   15.98    0.00    4.33    0.00    0.00    8.25    0.00    0.00    0.00   71.44
18:24:42     all   17.52    0.00    5.02    0.00    0.00    7.99    0.00    0.00    0.00   69.47
18:24:43     all   16.51    0.00    5.40    0.00    0.00    8.15    0.00    0.00    0.00   69.93
18:24:44     all   17.04    0.00    4.31    0.00    0.00    8.32    0.00    0.00    0.00   70.33
18:24:45     all   15.16    0.00    4.51    0.20    0.00    8.50    0.00    0.00    0.00   71.62
18:24:46     all   16.15    0.00    4.58    0.00    0.00    8.02    0.00    0.00    0.00   71.25
18:24:47     all   16.45    0.00    4.94    0.00    0.00    8.38    0.00    0.00    0.00   70.23
18:24:48     all   16.89    0.00    3.84    0.00    0.00    8.70    0.00    0.00    0.00   70.58
18:24:49     all   16.34    0.00    4.19    0.00    0.00    8.48    0.00    0.00    0.00   70.99
18:24:50     all   19.61    0.00    6.44    0.31    0.00    8.27    0.00    0.00    0.00   65.37
18:24:51     all   17.40    0.00    4.37    0.00    0.00    8.14    0.00    0.00    0.00   70.09
18:24:52     all   17.13    0.00    5.71    0.00    0.00    8.77    0.00    0.00    0.00   68.40
18:24:53     all   17.19    0.00    4.37    0.00    0.00    8.44    0.00    0.00    0.00   69.99
18:24:54     all   15.31    0.00    5.92    0.00    0.00    8.37    0.00    0.00    0.00   70.41
18:24:55     all   16.87    0.00    4.57    0.00    0.00    9.04    0.00    0.00    0.00   69.51
18:24:56     all   16.53    0.00    4.33    0.00    0.00    7.86    0.00    0.00    0.00   71.27
18:24:57     all   15.61    0.00    4.00    0.00    0.00    8.52    0.00    0.00    0.00   71.87
18:24:58     all   17.47    0.00    4.19    0.00    0.00    8.17    0.00    0.00    0.00   70.17
18:24:59     all   15.62    0.00    4.21    0.00    0.00    8.84    0.00    0.00    0.00   71.33
18:25:00     all   18.82    0.00    7.22    0.31    0.00    8.44    0.00    0.00    0.00   65.21
18:25:01     all   17.36    0.00    5.01    0.00    0.00    8.89    0.00    0.00    0.00   68.74
18:25:02     all   18.11    0.00    4.93    0.00    0.00    8.15    0.00    0.00    0.00   68.81
18:25:03     all   16.33    0.00    4.39    0.00    0.00    8.06    0.00    0.00    0.00   71.22
18:25:04     all   17.33    0.00    4.36    0.00    0.00    8.11    0.00    0.00    0.00   70.21
18:25:05     all   15.93    0.00    3.72    0.31    0.00    8.17    0.00    0.00    0.00   71.87
18:25:06     all   16.55    0.00    4.77    0.00    0.00    8.12    0.00    0.00    0.00   70.56
18:25:07     all   15.53    0.00    4.73    0.00    0.00    8.64    0.00    0.00    0.00   71.09
