Linux 5.15.0-136-generic (qiang-gpu6) 	09/12/25 	_x86_64_	(10 CPU)

17:28:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:28:09     all   75.92    0.00   12.39    0.00    0.00    8.39    0.00    0.00    0.00    3.30
17:28:10     all   73.05    0.00   16.57    0.00    0.00    7.98    0.00    0.00    0.00    2.40
17:28:11     all   71.07    0.00   15.62    0.00    0.00    8.61    0.00    0.00    0.00    4.70
17:28:12     all   72.76    0.00   13.47    0.10    0.00    8.04    0.00    0.00    0.00    5.63
17:28:13     all   76.46    0.00    8.35    0.00    0.00    8.25    0.00    0.00    0.00    6.94
17:28:14     all   75.00    0.00    8.27    0.00    0.00    8.77    0.00    0.00    0.00    7.96
17:28:15     all   77.76    0.00    8.62    0.00    0.00    8.52    0.00    0.00    0.00    5.11
17:28:16     all   76.96    0.00    7.44    0.00    0.00    8.15    0.00    0.00    0.00    7.44
17:28:17     all   75.73    0.00    8.16    0.00    0.00    8.56    0.00    0.00    0.00    7.55
17:28:18     all   76.18    0.00    7.24    0.00    0.00    8.94    0.00    0.00    0.00    7.64
17:28:19     all   76.47    0.00    7.68    0.00    0.00    8.18    0.00    0.00    0.00    7.68
17:28:20     all   77.20    0.00    8.30    0.00    0.00    7.80    0.00    0.00    0.00    6.70
17:28:21     all   73.08    0.00   10.58    0.00    0.00    8.67    0.00    0.00    0.00    7.66
17:28:22     all   75.20    0.00    6.88    0.00    0.00    8.30    0.00    0.00    0.00    9.62
17:28:23     all   74.90    0.00    9.24    0.00    0.00    8.33    0.00    0.00    0.00    7.53
17:28:24     all   73.54    0.00    8.08    0.00    0.00    8.38    0.00    0.00    0.00   10.00
17:28:25     all   78.09    0.00    8.84    0.00    0.00    8.14    0.00    0.00    0.00    4.92
17:28:26     all   75.71    0.00    8.37    0.00    0.00    7.96    0.00    0.00    0.00    7.96
17:28:27     all   75.03    0.00    7.68    0.10    0.00    8.59    0.00    0.00    0.00    8.59
17:28:28     all   76.92    0.00    7.29    0.00    0.00    8.19    0.00    0.00    0.00    7.59
17:28:29     all   73.46    0.00    8.48    0.00    0.00    8.88    0.00    0.00    0.00    9.18
17:28:30     all   76.29    0.00    8.27    0.00    0.00    8.37    0.00    0.00    0.00    7.07
17:28:31     all   74.32    0.00    8.06    0.00    0.00    8.36    0.00    0.00    0.00    9.26
17:28:32     all   74.20    0.00    8.63    0.10    0.00    8.43    0.00    0.00    0.00    8.63
17:28:33     all   78.01    0.00    7.16    0.00    0.00    7.86    0.00    0.00    0.00    6.97
17:28:34     all   75.43    0.00    8.80    0.00    0.00    8.29    0.00    0.00    0.00    7.48
17:28:35     all   78.36    0.00    7.62    0.00    0.00    7.92    0.00    0.00    0.00    6.11
17:28:36     all   77.18    0.00    7.41    0.00    0.00    8.21    0.00    0.00    0.00    7.21
17:28:37     all   78.68    0.00    6.91    0.00    0.00    8.51    0.00    0.00    0.00    5.91
17:28:38     all   77.01    0.00    8.33    0.00    0.00    8.03    0.00    0.00    0.00    6.63
17:28:39     all   77.62    0.00    7.09    0.00    0.00    8.69    0.00    0.00    0.00    6.59
17:28:40     all   74.67    0.00    9.38    0.00    0.00    8.58    0.00    0.00    0.00    7.37
17:28:41     all   78.12    0.00    7.49    0.00    0.00    8.09    0.00    0.00    0.00    6.29
17:28:42     all   77.78    0.00    7.01    0.10    0.00    8.21    0.00    0.00    0.00    6.91
17:28:43     all   74.25    0.00    7.85    0.00    0.00    8.15    0.00    0.00    0.00    9.76
17:28:44     all   76.10    0.00    8.13    0.00    0.00    8.03    0.00    0.00    0.00    7.73
17:28:45     all   75.50    0.00    9.14    0.00    0.00    8.43    0.00    0.00    0.00    6.93
17:28:46     all   77.35    0.00    8.42    0.00    0.00    7.92    0.00    0.00    0.00    6.31
17:28:47     all   76.36    0.00    8.25    0.00    0.00    8.35    0.00    0.00    0.00    7.04
17:28:48     all   79.08    0.00    7.51    0.00    0.00    7.81    0.00    0.00    0.00    5.61
17:28:49     all   77.58    0.00    8.59    0.00    0.00    8.08    0.00    0.00    0.00    5.76
17:28:50     all   77.09    0.00    8.84    0.00    0.00    8.24    0.00    0.00    0.00    5.83
17:28:51     all   75.43    0.00    9.93    0.00    0.00    8.32    0.00    0.00    0.00    6.32
17:28:52     all   76.20    0.00    9.54    0.10    0.00    8.13    0.00    0.00    0.00    6.02
17:28:53     all   76.28    0.00    9.61    0.00    0.00    9.01    0.00    0.00    0.00    5.11
17:28:54     all   77.43    0.00    8.22    0.00    0.00    8.32    0.00    0.00    0.00    6.02
17:28:55     all   77.49    0.00    7.94    0.00    0.00    8.14    0.00    0.00    0.00    6.43
17:28:56     all   77.21    0.00    7.83    0.00    0.00    8.23    0.00    0.00    0.00    6.73
17:28:57     all   76.10    0.00    9.24    0.10    0.00    8.33    0.00    0.00    0.00    6.22
17:28:58     all   75.07    0.00   11.07    0.00    0.00    8.97    0.00    0.00    0.00    4.89
