[0] Quadro RTX 8000 | 57°C,   1 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |   847 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   855 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |  1079 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   9 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1125 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1163 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   7 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   7 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   5 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1393 / 49152 MB
