Linux 5.15.0-136-generic (qiang-gpu6) 	09/11/25 	_x86_64_	(10 CPU)

18:06:01      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
18:07:28           10      1474      4.82      1.98      1.62         0
18:07:29            4      1474      4.82      1.98      1.62         0
18:07:30            6      1474      4.92      2.05      1.64         0
18:07:31            6      1477      4.92      2.05      1.64         0
18:07:32            9      1474      4.92      2.05      1.64         0
18:07:33            5      1474      4.92      2.05      1.64         0
18:07:34            5      1474      4.92      2.05      1.64         0
18:07:35            5      1474      4.84      2.08      1.66         0
18:07:36            4      1477      4.84      2.08      1.66         0
18:07:37            4      1474      4.84      2.08      1.66         0
18:07:38            4      1474      4.84      2.08      1.66         0
18:07:39            5      1474      4.84      2.08      1.66         0
18:07:40            6      1474      5.02      2.16      1.69         0
18:07:41            6      1477      5.02      2.16      1.69         0
18:07:42            6      1477      5.02      2.16      1.69         0
18:07:43            7      1474      5.02      2.16      1.69         0
18:07:44            6      1477      5.02      2.16      1.69         0
18:07:45            4      1474      5.34      2.28      1.73         0
18:07:46            7      1477      5.34      2.28      1.73         0
18:07:47            8      1474      5.34      2.28      1.73         0
18:07:48            4      1472      5.34      2.28      1.73         0
18:07:49            7      1472      5.34      2.28      1.73         0
18:07:50            4      1472      5.39      2.34      1.75         0
18:07:51            6      1475      5.39      2.34      1.75         0
18:07:52            7      1472      5.39      2.34      1.75         0
18:07:53            6      1473      5.39      2.34      1.75         0
18:07:54            6      1473      5.39      2.34      1.75         0
18:07:55            7      1473      5.28      2.37      1.76         0
18:07:56           10      1476      5.28      2.37      1.76         0
18:07:57           11      1474      5.28      2.37      1.76         0
18:07:58            6      1473      5.28      2.37      1.76         0
18:07:59            6      1473      5.28      2.37      1.76         0
18:08:00            5      1473      5.42      2.44      1.79         0
18:08:01            5      1476      5.42      2.44      1.79         0
18:08:02            4      1473      5.42      2.44      1.79         0
18:08:03            6      1473      5.42      2.44      1.79         0
18:08:04            5      1483      5.42      2.44      1.79         0
18:08:05            7      1473      5.30      2.47      1.80         0
18:08:06            5      1476      5.30      2.47      1.80         0
18:08:07            5      1473      5.30      2.47      1.80         0
18:08:08            6      1473      5.30      2.47      1.80         0
18:08:09            6      1473      5.30      2.47      1.80         0
18:08:10           10      1498      5.20      2.50      1.81         0
18:08:11            6      1476      5.20      2.50      1.81         0
18:08:12            5      1473      5.20      2.50      1.81         0
18:08:13            5      1473      5.20      2.50      1.81         0
18:08:14            9      1473      5.20      2.50      1.81         0
18:08:15            8      1473      5.10      2.52      1.83         0
18:08:16            5      1476      5.10      2.52      1.83         0
18:08:17            4      1473      5.10      2.52      1.83         0
18:08:18            6      1473      5.10      2.52      1.83         0
18:08:19            5      1473      5.10      2.52      1.83         0
18:08:20            4      1473      5.01      2.55      1.84         0
18:08:21            5      1476      5.01      2.55      1.84         0
18:08:22            4      1473      5.01      2.55      1.84         0
18:08:23            5      1473      5.01      2.55      1.84         0
18:08:24            4      1473      5.01      2.55      1.84         0
18:08:25            7      1473      5.01      2.59      1.86         0
18:08:26            5      1476      5.01      2.59      1.86         0
18:08:27            4      1473      5.01      2.59      1.86         0
18:08:28            5      1473      5.01      2.59      1.86         0
18:08:29            8      1475      5.01      2.59      1.86         0
18:08:30            7      1473      5.17      2.66      1.88         0
18:08:31            5      1476      5.17      2.66      1.88         0
18:08:32            8      1473      5.17      2.66      1.88         0
18:08:33            7      1473      5.17      2.66      1.88         0
18:08:34            7      1473      5.17      2.66      1.88         0
18:08:35            7      1473      5.48      2.77      1.92         0
18:08:36            6      1476      5.48      2.77      1.92         0
18:08:37            9      1473      5.48      2.77      1.92         0
18:08:38            9      1473      5.48      2.77      1.92         0
18:08:39            4      1473      5.48      2.77      1.92         0
18:08:40            5      1473      5.52      2.82      1.94         0
18:08:41            6      1477      5.52      2.82      1.94         0
18:08:42            5      1473      5.52      2.82      1.94         0
18:08:43            5      1473      5.52      2.82      1.94         0
18:08:44            4      1473      5.52      2.82      1.94         0
18:08:45            6      1473      6.04      2.97      2.00         0
18:08:46            6      1476      6.04      2.97      2.00         0
18:08:47            9      1473      6.04      2.97      2.00         0
18:08:48            7      1473      6.04      2.97      2.00         0
18:08:49            5      1473      6.04      2.97      2.00         0
18:08:50            9      1473      6.12      3.04      2.03         0
18:08:51           10      1476      6.12      3.04      2.03         0
18:08:52            7      1473      6.12      3.04      2.03         0
18:08:53            4      1473      6.12      3.04      2.03         0
18:08:54            9      1473      6.12      3.04      2.03         0
18:08:55            6      1473      6.03      3.07      2.04         0
18:08:56            7      1476      6.03      3.07      2.04         0
18:08:57            7      1488      6.03      3.07      2.04         0
18:08:58            6      1473      6.03      3.07      2.04         0
18:08:59            4      1473      6.03      3.07      2.04         0
18:09:00            4      1473      6.10      3.14      2.07         0
18:09:01            6      1476      6.10      3.14      2.07         0
18:09:02            4      1473      6.10      3.14      2.07         0
18:09:03            7      1473      6.10      3.14      2.07         0
18:09:04            5      1473      6.10      3.14      2.07         0
18:09:05            6      1473      6.10      3.19      2.09         0
18:09:06            5      1476      6.10      3.19      2.09         0
18:09:07            4      1473      6.10      3.19      2.09         0
18:09:08           11      1473      6.10      3.19      2.09         0
18:09:09            6      1473      6.10      3.19      2.09         0
18:09:10            6      1473      6.25      3.27      2.12         0
18:09:11            5      1476      6.25      3.27      2.12         0
18:09:12            5      1473      6.25      3.27      2.12         0
18:09:13            5      1473      6.25      3.27      2.12         0
18:09:14           13      1473      6.25      3.27      2.12         0
18:09:15            5      1473      6.31      3.33      2.15         0
18:09:16            4      1476      6.31      3.33      2.15         0
18:09:17            8      1473      6.31      3.33      2.15         0
18:09:18            7      1473      6.31      3.33      2.15         0
18:09:19            6      1473      6.31      3.33      2.15         0
18:09:20            6      1473      6.28      3.37      2.17         0
18:09:21            7      1476      6.28      3.37      2.17         0
18:09:22            5      1473      6.28      3.37      2.17         0
18:09:23            5      1474      6.28      3.37      2.17         0
18:09:24            6      1474      6.28      3.37      2.17         0
18:09:25            7      1474      6.26      3.42      2.19         0
18:09:26            8      1477      6.26      3.42      2.19         0
18:09:27            4      1474      6.26      3.42      2.19         0
18:09:28            4      1474      6.26      3.42      2.19         0
18:09:29            8      1474      6.26      3.42      2.19         0
18:09:30            5      1474      6.40      3.49      2.22         0
18:09:31            4      1477      6.40      3.49      2.22         0
18:09:32            6      1474      6.40      3.49      2.22         0
18:09:33            6      1474      6.40      3.49      2.22         0
18:09:34            4      1474      6.40      3.49      2.22         0
18:09:35            7      1489      6.45      3.55      2.25         0
18:09:36            7      1477      6.45      3.55      2.25         0
18:09:37            5      1474      6.45      3.55      2.25         0
18:09:38            6      1474      6.45      3.55      2.25         0
18:09:39            5      1474      6.45      3.55      2.25         0
18:09:40            7      1474      6.33      3.58      2.26         0
18:09:41           11      1495      6.33      3.58      2.26         0
18:09:42            6      1474      6.33      3.58      2.26         0
18:09:43            6      1474      6.33      3.58      2.26         0
18:09:44            4      1474      6.33      3.58      2.26         0
18:09:45            7      1474      6.39      3.63      2.29         0
18:09:46            8      1477      6.39      3.63      2.29         0
18:09:47            7      1480      6.39      3.63      2.29         0
18:09:48            5      1474      6.39      3.63      2.29         0
18:09:49            7      1474      6.39      3.63      2.29         0
18:09:50            5      1474      6.28      3.66      2.30         0
18:09:51            4      1477      6.28      3.66      2.30         0
18:09:52            6      1474      6.28      3.66      2.30         0
18:09:53            6      1474      6.28      3.66      2.30         0
18:09:54            5      1474      6.28      3.66      2.30         0
18:09:55            6      1474      6.17      3.68      2.32         0
18:09:56            5      1477      6.17      3.68      2.32         0
18:09:57            7      1474      6.17      3.68      2.32         0
18:09:58            7      1474      6.17      3.68      2.32         0
18:09:59            5      1474      6.17      3.68      2.32         0
18:10:00            5      1474      6.08      3.70      2.33         0
18:10:01            6      1477      6.08      3.70      2.33         0
18:10:02            8      1476      6.08      3.70      2.33         0
18:10:03            4      1474      6.08      3.70      2.33         0
18:10:04            5      1474      6.08      3.70      2.33         0
18:10:05            5      1474      6.15      3.76      2.36         0
18:10:06            4      1477      6.15      3.76      2.36         0
18:10:07            6      1474      6.15      3.76      2.36         0
18:10:08            8      1474      6.15      3.76      2.36         0
18:10:09            4      1474      6.15      3.76      2.36         0
18:10:10            6      1474      6.06      3.78      2.37         0
18:10:11            4      1477      6.06      3.78      2.37         0
18:10:12            5      1474      6.06      3.78      2.37         0
18:10:13            5      1474      6.06      3.78      2.37         0
18:10:14            4      1474      6.06      3.78      2.37         0
18:10:15            5      1474      6.06      3.81      2.39         0
18:10:16            5      1477      6.06      3.81      2.39         0
18:10:17            6      1474      6.06      3.81      2.39         0
18:10:18            4      1474      6.06      3.81      2.39         0
18:10:19            7      1474      6.06      3.81      2.39         0
18:10:20            7      1474      6.05      3.85      2.41         0
18:10:21            6      1477      6.05      3.85      2.41         0
18:10:22            5      1474      6.05      3.85      2.41         0
18:10:23            4      1474      6.05      3.85      2.41         0
18:10:24            6      1474      6.05      3.85      2.41         0
18:10:25            4      1474      5.89      3.85      2.42         0
18:10:26           10      1477      5.89      3.85      2.42         0
18:10:27            4      1474      5.89      3.85      2.42         0
18:10:28            7      1480      5.89      3.85      2.42         0
18:10:29            7      1474      5.89      3.85      2.42         0
18:10:30            7      1474      5.73      3.86      2.43         0
18:10:31           11      1477      5.73      3.86      2.43         0
18:10:32            9      1474      5.73      3.86      2.43         0
18:10:33            5      1474      5.73      3.86      2.43         0
18:10:34            5      1474      5.73      3.86      2.43         0
18:10:35            6      1474      5.60      3.86      2.44         0
18:10:36            5      1477      5.60      3.86      2.44         0
18:10:37            5      1474      5.60      3.86      2.44         0
18:10:38            4      1474      5.60      3.86      2.44         0
18:10:39            7      1474      5.60      3.86      2.44         0
18:10:40            4      1474      5.55      3.88      2.45         0
18:10:41            4      1477      5.55      3.88      2.45         0
18:10:42            6      1474      5.55      3.88      2.45         0
18:10:43            5      1474      5.55      3.88      2.45         0
18:10:44            4      1474      5.55      3.88      2.45         0
18:10:45            5      1474      5.58      3.91      2.47         0
18:10:46            4      1477      5.58      3.91      2.47         0
18:10:47            8      1474      5.58      3.91      2.47         0
18:10:48            7      1474      5.58      3.91      2.47         0
18:10:49            5      1474      5.58      3.91      2.47         0
18:10:50            7      1474      5.54      3.93      2.49         0
18:10:51            4      1477      5.54      3.93      2.49         0
18:10:52            7      1474      5.54      3.93      2.49         0
18:10:53            5      1474      5.54      3.93      2.49         0
18:10:54            5      1474      5.54      3.93      2.49         0
18:10:55            4      1474      5.73      4.00      2.52         0
18:10:56            5      1477      5.73      4.00      2.52         0
18:10:57            5      1474      5.73      4.00      2.52         0
18:10:58            5      1474      5.73      4.00      2.52         0
18:10:59            4      1471      5.73      4.00      2.52         0
18:11:00            4      1471      5.60      4.00      2.52         0
18:11:01            4      1474      5.60      4.00      2.52         0
18:11:02            6      1472      5.60      4.00      2.52         0
18:11:03            4      1472      5.60      4.00      2.52         0
18:11:04            7      1472      5.60      4.00      2.52         0
18:11:05            5      1472      5.55      4.02      2.54         0
18:11:06            6      1475      5.55      4.02      2.54         0
18:11:07            4      1472      5.55      4.02      2.54         0
18:11:08            7      1472      5.55      4.02      2.54         0
18:11:09            7      1472      5.55      4.02      2.54         0
18:11:10            4      1472      5.50      4.03      2.55         0
18:11:11            6      1475      5.50      4.03      2.55         0
18:11:12            9      1476      5.50      4.03      2.55         0
18:11:13            5      1472      5.50      4.03      2.55         0
18:11:14            5      1472      5.50      4.03      2.55         0
18:11:15            4      1472      5.46      4.05      2.56         0
18:11:16            6      1475      5.46      4.05      2.56         0
18:11:17            4      1472      5.46      4.05      2.56         0
18:11:18            7      1472      5.46      4.05      2.56         0
18:11:19            4      1472      5.46      4.05      2.56         0
18:11:20            6      1472      5.35      4.05      2.57         0
18:11:21            4      1475      5.35      4.05      2.57         0
18:11:22            6      1472      5.35      4.05      2.57         0
18:11:23            4      1472      5.35      4.05      2.57         0
18:11:24            8      1472      5.35      4.05      2.57         0
18:11:25            5      1472      5.40      4.08      2.59         0
18:11:26            7      1475      5.40      4.08      2.59         0
18:11:27            5      1472      5.40      4.08      2.59         0
18:11:28            4      1472      5.40      4.08      2.59         0
18:11:29            7      1472      5.40      4.08      2.59         0
18:11:30            5      1472      5.45      4.11      2.61         0
18:11:31            5      1474      5.45      4.11      2.61         0
18:11:32            5      1471      5.45      4.11      2.61         0
18:11:33            7      1477      5.45      4.11      2.61         0
18:11:34            4      1471      5.45      4.11      2.61         0
18:11:35            4      1471      5.33      4.11      2.62         0
18:11:36            7      1474      5.33      4.11      2.62         0
18:11:37            5      1471      5.33      4.11      2.62         0
18:11:38            8      1482      5.33      4.11      2.62         0
18:11:39            7      1471      5.33      4.11      2.62         0
18:11:40            6      1471      5.46      4.16      2.64         0
18:11:41            6      1474      5.46      4.16      2.64         0
18:11:42            7      1474      5.46      4.16      2.64         0
18:11:43            6      1471      5.46      4.16      2.64         0
18:11:44            6      1471      5.46      4.16      2.64         0
18:11:45            8      1471      5.59      4.21      2.66         0
18:11:46            5      1474      5.59      4.21      2.66         0
18:11:47            8      1471      5.59      4.21      2.66         0
18:11:48            4      1471      5.59      4.21      2.66         0
18:11:49            4      1471      5.59      4.21      2.66         0
18:11:50            9      1471      5.46      4.20      2.67         0
18:11:51            8      1474      5.46      4.20      2.67         0
18:11:52            6      1471      5.46      4.20      2.67         0
18:11:53            7      1471      5.46      4.20      2.67         0
18:11:54            5      1471      5.46      4.20      2.67         0
18:11:55            6      1471      5.34      4.20      2.68         0
18:11:56            5      1474      5.34      4.20      2.68         0
18:11:57            4      1471      5.34      4.20      2.68         0
18:11:58            6      1471      5.34      4.20      2.68         0
18:11:59            6      1471      5.34      4.20      2.68         0
18:12:00            9      1471      5.32      4.21      2.69         0
18:12:01            6      1474      5.32      4.21      2.69         0
18:12:02            5      1471      5.32      4.21      2.69         0
18:12:03            7      1471      5.32      4.21      2.69         0
18:12:04            6      1471      5.32      4.21      2.69         0
18:12:05            5      1471      5.21      4.21      2.70         0
18:12:06            7      1480      5.21      4.21      2.70         0
18:12:07            4      1471      5.21      4.21      2.70         0
18:12:08            5      1476      5.21      4.21      2.70         0
18:12:09            5      1471      5.21      4.21      2.70         0
18:12:10            6      1471      5.19      4.22      2.71         0
18:12:11            8      1474      5.19      4.22      2.71         0
18:12:12           12      1471      5.19      4.22      2.71         0
18:12:13            4      1471      5.19      4.22      2.71         0
18:12:14            5      1471      5.19      4.22      2.71         0
18:12:15            5      1471      5.18      4.24      2.72         0
18:12:16            5      1474      5.18      4.24      2.72         0
18:12:17            5      1471      5.18      4.24      2.72         0
18:12:18            7      1471      5.18      4.24      2.72         0
18:12:19            5      1471      5.18      4.24      2.72         0
18:12:20            6      1471      5.40      4.30      2.75         0
18:12:21            6      1473      5.40      4.30      2.75         0
18:12:22            5      1470      5.40      4.30      2.75         0
18:12:23           11      1470      5.40      4.30      2.75         0
18:12:24            6      1470      5.40      4.30      2.75         0
18:12:25            7      1470      5.37      4.31      2.77         0
18:12:26            9      1473      5.37      4.31      2.77         0
18:12:27            4      1470      5.37      4.31      2.77         0
18:12:28            5      1470      5.37      4.31      2.77         0
18:12:29            5      1470      5.37      4.31      2.77         0
18:12:30            4      1470      5.34      4.32      2.78         0
18:12:31            8      1473      5.34      4.32      2.78         0
18:12:32            5      1470      5.34      4.32      2.78         0
18:12:33            5      1470      5.34      4.32      2.78         0
18:12:34           10      1470      5.34      4.32      2.78         0
18:12:35            4      1471      5.23      4.32      2.78         0
18:12:36            5      1475      5.23      4.32      2.78         0
18:12:37            5      1472      5.23      4.32      2.78         0
18:12:38            6      1472      5.23      4.32      2.78         0
18:12:39            5      1472      5.23      4.32      2.78         0
18:12:40            6      1472      5.29      4.34      2.80         0
18:12:41            5      1475      5.29      4.34      2.80         0
18:12:42            4      1472      5.29      4.34      2.80         0
18:12:43            5      1472      5.29      4.34      2.80         0
18:12:44            5      1472      5.29      4.34      2.80         0
18:12:45            5      1472      5.27      4.36      2.81         0
18:12:46            6      1475      5.27      4.36      2.81         0
18:12:47            6      1472      5.27      4.36      2.81         0
18:12:48            4      1472      5.27      4.36      2.81         0
18:12:49            6      1472      5.27      4.36      2.81         0
18:12:50            8      1473      5.25      4.37      2.83         0
18:12:51            5      1476      5.25      4.37      2.83         0
18:12:52            4      1473      5.25      4.37      2.83         0
18:12:53           10      1483      5.25      4.37      2.83         0
18:12:54            5      1489      5.25      4.37      2.83         0
18:12:55            6      1473      5.31      4.39      2.84         0
18:12:56            6      1476      5.31      4.39      2.84         0
18:12:57            7      1473      5.31      4.39      2.84         0
18:12:58            5      1473      5.31      4.39      2.84         0
18:12:59            6      1473      5.31      4.39      2.84         0
18:13:00            8      1473      5.37      4.42      2.86         0
18:13:01            5      1476      5.37      4.42      2.86         0
18:13:02            4      1473      5.37      4.42      2.86         0
18:13:03            4      1473      5.37      4.42      2.86         0
18:13:04            5      1473      5.37      4.42      2.86         0
18:13:05            5      1473      5.50      4.46      2.88         0
18:13:06           12      1476      5.50      4.46      2.88         0
18:13:07            6      1473      5.50      4.46      2.88         0
18:13:08            5      1473      5.50      4.46      2.88         0
18:13:09            8      1488      5.50      4.46      2.88         0
18:13:10            7      1473      5.54      4.49      2.90         0
18:13:11            4      1476      5.54      4.49      2.90         0
18:13:12            6      1473      5.54      4.49      2.90         0
18:13:13           11      1473      5.54      4.49      2.90         0
18:13:14            7      1473      5.54      4.49      2.90         0
18:13:15            4      1473      5.49      4.50      2.91         0
18:13:16            7      1476      5.49      4.50      2.91         0
18:13:17            6      1473      5.49      4.50      2.91         0
18:13:18            6      1473      5.49      4.50      2.91         0
18:13:19            4      1473      5.49      4.50      2.91         0
18:13:20            4      1473      5.61      4.54      2.93         0
18:13:21            8      1476      5.61      4.54      2.93         0
18:13:22            4      1473      5.61      4.54      2.93         0
18:13:23            4      1473      5.61      4.54      2.93         0
18:13:24            4      1473      5.61      4.54      2.93         0
18:13:25           10      1486      5.65      4.56      2.95         0
18:13:26            4      1476      5.65      4.56      2.95         0
18:13:27            5      1473      5.65      4.56      2.95         0
18:13:28           11      1473      5.65      4.56      2.95         0
18:13:29            5      1473      5.65      4.56      2.95         0
18:13:30           10      1474      5.51      4.55      2.96         0
18:13:31            5      1477      5.51      4.55      2.96         0
18:13:32            6      1474      5.51      4.55      2.96         0
18:13:33           10      1474      5.51      4.55      2.96         0
18:13:34            7      1474      5.51      4.55      2.96         0
18:13:35            4      1474      5.39      4.55      2.96         0
18:13:36            5      1477      5.39      4.55      2.96         0
18:13:37            8      1474      5.39      4.55      2.96         0
18:13:38            6      1474      5.39      4.55      2.96         0
18:13:39            7      1474      5.39      4.55      2.96         0
18:13:40            6      1474      5.44      4.57      2.98         0
18:13:41            6      1477      5.44      4.57      2.98         0
18:13:42            4      1474      5.44      4.57      2.98         0
18:13:43            6      1474      5.44      4.57      2.98         0
18:13:44            6      1474      5.44      4.57      2.98         0
18:13:45            9      1474      5.33      4.56      2.98         0
18:13:46            7      1477      5.33      4.56      2.98         0
18:13:47            6      1474      5.33      4.56      2.98         0
18:13:48            4      1474      5.33      4.56      2.98         0
18:13:49            6      1474      5.33      4.56      2.98         0
18:13:50            5      1474      5.30      4.57      3.00         0
18:13:51            5      1477      5.30      4.57      3.00         0
18:13:52            7      1474      5.30      4.57      3.00         0
18:13:53            6      1474      5.30      4.57      3.00         0
18:13:54            5      1474      5.30      4.57      3.00         0
18:13:55            5      1474      5.27      4.57      3.01         0
18:13:56            4      1477      5.27      4.57      3.01         0
18:13:57            6      1474      5.27      4.57      3.01         0
18:13:58            9      1474      5.27      4.57      3.01         0
18:13:59            5      1474      5.27      4.57      3.01         0
18:14:00            6      1474      5.33      4.60      3.02         0
18:14:01            6      1477      5.33      4.60      3.02         0
18:14:02            6      1474      5.33      4.60      3.02         0
18:14:03            4      1474      5.33      4.60      3.02         0
18:14:04            4      1474      5.33      4.60      3.02         0
18:14:05            9      1476      5.31      4.61      3.03         0
18:14:06            7      1477      5.31      4.61      3.03         0
18:14:07            6      1474      5.31      4.61      3.03         0
18:14:08            7      1474      5.31      4.61      3.03         0
18:14:09           13      1480      5.31      4.61      3.03         0
18:14:10            7      1474      5.28      4.61      3.04         0
18:14:11            5      1478      5.28      4.61      3.04         0
18:14:12            9      1475      5.28      4.61      3.04         0
18:14:13            4      1475      5.28      4.61      3.04         0
18:14:14            4      1475      5.28      4.61      3.04         0
18:14:15            7      1475      5.50      4.67      3.07         0
18:14:16            7      1478      5.50      4.67      3.07         0
18:14:17            4      1475      5.50      4.67      3.07         0
18:14:18            4      1475      5.50      4.67      3.07         0
18:14:19            5      1475      5.50      4.67      3.07         0
18:14:20            3      1475      5.14      4.61      3.06         0
18:14:21            3      1478      5.14      4.61      3.06         0
18:14:22            0      1478      5.14      4.61      3.06         0
18:14:23            0      1475      5.14      4.61      3.06         0
18:14:24            0      1475      5.14      4.61      3.06         0
18:14:25            3      1473      4.73      4.53      3.04         0
18:14:26            5      1458      4.73      4.53      3.04         0
18:14:27            1      1418      4.73      4.53      3.04         0
18:14:28            4      1392      4.73      4.53      3.04         0
