Linux 5.15.0-136-generic (qiang-gpu6) 	09/11/25 	_x86_64_	(10 CPU)

18:06:01      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
18:06:02            5      1465      1.42      0.65      1.19         0
18:06:03            5      1469      1.42      0.65      1.19         0
18:06:04            6      1469      1.42      0.65      1.19         0
18:06:05            6      1472      1.87      0.75      1.22         0
18:06:06            9      1475      1.87      0.75      1.22         0
18:06:07            7      1472      1.87      0.75      1.22         0
18:06:08            5      1472      1.87      0.75      1.22         0
18:06:09            4      1472      1.87      0.75      1.22         0
18:06:10            5      1472      2.36      0.87      1.26         0
18:06:11            4      1475      2.36      0.87      1.26         0
18:06:12            5      1472      2.36      0.87      1.26         0
18:06:13            5      1472      2.36      0.87      1.26         0
18:06:14            5      1472      2.36      0.87      1.26         0
18:06:15            6      1472      2.73      0.97      1.29         0
18:06:16            5      1475      2.73      0.97      1.29         0
18:06:17            5      1472      2.73      0.97      1.29         0
18:06:18            5      1472      2.73      0.97      1.29         0
18:06:19            8      1473      2.73      0.97      1.29         0
18:06:20            6      1473      2.91      1.04      1.31         0
18:06:21            8      1476      2.91      1.04      1.31         0
18:06:22            8      1473      2.91      1.04      1.31         0
18:06:23            6      1473      2.91      1.04      1.31         0
18:06:24            6      1473      2.91      1.04      1.31         0
18:06:25            5      1473      3.16      1.12      1.34         0
18:06:26            4      1476      3.16      1.12      1.34         0
18:06:27            9      1473      3.16      1.12      1.34         0
18:06:28            5      1473      3.16      1.12      1.34         0
18:06:29            4      1473      3.16      1.12      1.34         0
18:06:30            7      1473      3.31      1.19      1.36         0
18:06:31            6      1476      3.31      1.19      1.36         0
18:06:32            6      1473      3.31      1.19      1.36         0
18:06:33            4      1473      3.31      1.19      1.36         0
18:06:34            5      1473      3.31      1.19      1.36         0
18:06:35            5      1473      3.36      1.23      1.37         0
18:06:36           13      1490      3.36      1.23      1.37         0
18:06:37            6      1473      3.36      1.23      1.37         0
18:06:38            4      1473      3.36      1.23      1.37         0
18:06:39            7      1504      3.36      1.23      1.37         0
18:06:40            7      1473      3.82      1.36      1.41         0
18:06:41            4      1476      3.82      1.36      1.41         0
18:06:42            5      1473      3.82      1.36      1.41         0
18:06:43            7      1473      3.82      1.36      1.41         0
18:06:44            5      1473      3.82      1.36      1.41         0
18:06:45            6      1473      3.91      1.42      1.43         0
18:06:46            5      1476      3.91      1.42      1.43         0
18:06:47            4      1473      3.91      1.42      1.43         0
18:06:48            7      1473      3.91      1.42      1.43         0
18:06:49            7      1473      3.91      1.42      1.43         0
18:06:50            6      1473      4.00      1.48      1.45         0
18:06:51            7      1476      4.00      1.48      1.45         0
18:06:52            6      1473      4.00      1.48      1.45         0
18:06:53            7      1473      4.00      1.48      1.45         0
18:06:54            7      1473      4.00      1.48      1.45         0
18:06:55            5      1473      4.24      1.58      1.48         0
18:06:56            5      1476      4.24      1.58      1.48         0
18:06:57            4      1473      4.24      1.58      1.48         0
18:06:58            4      1473      4.24      1.58      1.48         0
18:06:59            9      1473      4.24      1.58      1.48         0
18:07:00            5      1473      4.30      1.63      1.50         0
18:07:01            5      1476      4.30      1.63      1.50         0
18:07:02           10      1473      4.30      1.63      1.50         0
18:07:03            5      1473      4.30      1.63      1.50         0
18:07:04            7      1488      4.30      1.63      1.50         0
18:07:05            6      1473      4.68      1.76      1.54         0
18:07:06            7      1476      4.68      1.76      1.54         0
18:07:07           10      1474      4.68      1.76      1.54         0
18:07:08            6      1474      4.68      1.76      1.54         0
18:07:09            6      1474      4.68      1.76      1.54         0
18:07:10            4      1474      4.78      1.83      1.57         0
18:07:11            5      1477      4.78      1.83      1.57         0
18:07:12            5      1477      4.78      1.83      1.57         0
18:07:13            8      1474      4.78      1.83      1.57         0
18:07:14            7      1474      4.78      1.83      1.57         0
18:07:15            5      1474      4.80      1.88      1.58         0
18:07:16           10      1492      4.80      1.88      1.58         0
18:07:17            6      1474      4.80      1.88      1.58         0
18:07:18            5      1474      4.80      1.88      1.58         0
18:07:19            6      1477      4.80      1.88      1.58         0
18:07:20            7      1491      4.90      1.95      1.61         0
18:07:21            9      1477      4.90      1.95      1.61         0
18:07:22            5      1474      4.90      1.95      1.61         0
18:07:23            6      1474      4.90      1.95      1.61         0
18:07:24            8      1474      4.90      1.95      1.61         0
18:07:25            6      1474      4.82      1.98      1.62         0
18:07:26            6      1477      4.82      1.98      1.62         0
18:07:27            4      1474      4.82      1.98      1.62         0
