[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |    13 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   0 % |   165 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   2 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   4 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   4 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   1 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   1 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   1 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   1 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   1 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 45°C,   0 % |   281 / 49152 MB
