Linux 5.15.0-136-generic (qiang-gpu6) 	09/30/25 	_x86_64_	(10 CPU)

13:37:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:37:27     all   76.63    0.00   12.74    0.00    0.00    8.73    0.00    0.00    0.00    1.91
13:37:28     all   76.88    0.00   11.81    0.00    0.00    8.71    0.00    0.00    0.00    2.60
13:37:29     all   77.64    0.00   12.77    0.00    0.00    9.48    0.00    0.00    0.00    0.10
13:37:30     all   75.55    0.00   14.13    0.00    0.00    8.32    0.00    0.00    0.00    2.00
13:37:31     all   78.66    0.00   12.06    0.00    0.00    8.97    0.00    0.00    0.00    0.30
13:37:32     all   82.30    0.00    8.60    0.00    0.00    8.50    0.00    0.00    0.00    0.60
13:37:33     all   79.22    0.00   12.49    0.00    0.00    8.19    0.00    0.00    0.00    0.10
13:37:34     all   78.36    0.00   12.36    0.00    0.00    8.67    0.00    0.00    0.00    0.60
13:37:35     all   80.60    0.00   10.80    0.00    0.00    8.40    0.00    0.00    0.00    0.20
13:37:36     all   82.14    0.00    9.28    0.00    0.00    8.28    0.00    0.00    0.00    0.30
13:37:37     all   80.14    0.00   10.28    0.00    0.00    9.58    0.00    0.00    0.00    0.00
13:37:38     all   81.22    0.00    9.19    0.00    0.00    9.29    0.00    0.00    0.00    0.30
13:37:39     all   83.30    0.00    8.40    0.00    0.00    8.30    0.00    0.00    0.00    0.00
13:37:40     all   82.42    0.00    8.09    0.00    0.00    8.79    0.00    0.00    0.00    0.70
13:37:41     all   83.03    0.00    8.53    0.00    0.00    7.93    0.00    0.00    0.00    0.50
13:37:42     all   81.56    0.00    8.67    0.00    0.00    9.67    0.00    0.00    0.00    0.10
13:37:43     all   83.08    0.00    8.51    0.00    0.00    8.31    0.00    0.00    0.00    0.10
13:37:44     all   82.63    0.00    8.18    0.00    0.00    8.98    0.00    0.00    0.00    0.20
13:37:45     all   83.80    0.00    7.50    0.00    0.00    8.40    0.00    0.00    0.00    0.30
13:37:46     all   81.00    0.00   10.00    0.00    0.00    9.00    0.00    0.00    0.00    0.00
13:37:47     all   82.80    0.00    8.50    0.00    0.00    8.50    0.00    0.00    0.00    0.20
13:37:48     all   82.97    0.00    8.12    0.00    0.00    8.82    0.00    0.00    0.00    0.10
13:37:49     all   83.63    0.00    7.53    0.00    0.00    8.73    0.00    0.00    0.00    0.10
13:37:50     all   80.76    0.00    8.87    0.00    0.00    8.77    0.00    0.00    0.00    1.60
13:37:51     all   81.28    0.00    9.51    0.00    0.00    9.01    0.00    0.00    0.00    0.20
13:37:52     all   79.88    0.00    8.61    0.00    0.00    9.11    0.00    0.00    0.00    2.40
13:37:53     all   79.04    0.00    8.12    0.00    0.00    8.22    0.00    0.00    0.00    4.61
13:37:54     all   80.70    0.00    7.70    0.00    0.00    8.30    0.00    0.00    0.00    3.30
13:37:55     all   81.20    0.00    7.70    0.00    0.00    8.50    0.00    0.00    0.00    2.60
13:37:56     all   82.70    0.00    8.30    0.00    0.00    8.80    0.00    0.00    0.00    0.20
13:37:57     all   83.60    0.00    8.10    0.00    0.00    7.90    0.00    0.00    0.00    0.40
13:37:58     all   82.52    0.00    8.89    0.00    0.00    8.39    0.00    0.00    0.00    0.20
13:37:59     all   83.22    0.00    7.99    0.00    0.00    8.19    0.00    0.00    0.00    0.60
13:38:00     all   82.77    0.00    8.22    0.00    0.00    8.82    0.00    0.00    0.00    0.20
13:38:01     all   81.32    0.00    9.49    0.00    0.00    8.89    0.00    0.00    0.00    0.30
13:38:02     all   82.35    0.00    8.47    0.00    0.00    8.77    0.00    0.00    0.00    0.40
13:38:03     all   82.18    0.00    8.71    0.00    0.00    8.81    0.00    0.00    0.00    0.30
13:38:04     all   81.77    0.00    8.76    0.00    0.00    9.16    0.00    0.00    0.00    0.30
