[0] Quadro RTX 8000 | 47°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 47°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 47°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 47°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 47°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   2 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   2 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 48°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   2 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   2 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 49°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   2 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   2 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   2 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 50°C,   0 % |  2227 / 49152 MB
