Linux 5.15.0-136-generic (qiang-gpu6) 	09/23/25 	_x86_64_	(10 CPU)

11:01:51     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:52     all   24.87    0.00    6.98    0.00    0.00    7.79    0.00    0.00    0.00   60.36
11:01:53     all   26.18    0.00    7.85    0.00    0.00    6.75    0.00    0.00    0.00   59.21
11:01:54     all   28.20    0.00   10.88    0.30    0.00    6.95    0.00    0.00    0.00   53.68
11:01:55     all   25.28    0.00    8.32    0.00    0.00    7.30    0.00    0.00    0.00   59.10
11:01:56     all   24.85    0.00    8.15    0.00    0.00    7.04    0.00    0.00    0.00   59.96
11:01:57     all   25.33    0.00    6.89    0.00    0.00    7.50    0.00    0.00    0.00   60.28
11:01:58     all   24.95    0.00    6.19    0.10    0.00    6.80    0.00    0.00    0.00   61.97
11:01:59     all   27.20    0.00    7.38    0.20    0.00    7.79    0.00    0.00    0.00   57.43
11:02:00     all   24.56    0.00    4.85    0.00    0.00    6.60    0.00    0.00    0.00   63.98
11:02:01     all   25.71    0.00    8.97    0.00    0.00    6.96    0.00    0.00    0.00   58.37
11:02:02     all   26.44    0.00   13.12    0.00    0.00    7.06    0.00    0.00    0.00   53.38
11:02:03     all   25.30    0.00    4.54    0.00    0.00    7.16    0.00    0.00    0.00   63.00
11:02:04     all   24.85    0.00    5.54    0.10    0.00    6.47    0.00    0.00    0.00   63.04
11:02:05     all   25.48    0.00    4.87    0.00    0.00    7.11    0.00    0.00    0.00   62.54
11:02:06     all   25.61    0.00    4.35    0.00    0.00    7.09    0.00    0.00    0.00   62.96
11:02:07     all   26.55    0.00    5.49    0.31    0.00    7.22    0.00    0.00    0.00   60.43
11:02:08     all   25.60    0.00    4.64    0.00    0.00    7.16    0.00    0.00    0.00   62.60
11:02:09     all   26.20    0.00    5.42    0.20    0.00    7.43    0.00    0.00    0.00   60.74
11:02:10     all   25.05    0.00    3.89    0.00    0.00    7.16    0.00    0.00    0.00   63.91
11:02:11     all   25.25    0.00    4.18    0.00    0.00    7.13    0.00    0.00    0.00   63.44
11:02:12     all   25.58    0.00    5.34    0.00    0.00    7.55    0.00    0.00    0.00   61.53
11:02:13     all   25.15    0.00    4.19    0.00    0.00    6.34    0.00    0.00    0.00   64.31
11:02:14     all   26.45    0.00    4.81    0.20    0.00    7.72    0.00    0.00    0.00   60.82
11:02:15     all   25.89    0.00    5.20    0.00    0.00    7.14    0.00    0.00    0.00   61.77
11:02:16     all   25.03    0.00    4.49    0.00    0.00    7.05    0.00    0.00    0.00   63.43
11:02:17     all   26.31    0.00    4.83    0.00    0.00    6.27    0.00    0.00    0.00   62.59
11:02:18     all   24.42    0.00    4.07    0.00    0.00    7.73    0.00    0.00    0.00   63.78
11:02:19     all   24.49    0.00    5.53    0.10    0.00    6.86    0.00    0.00    0.00   63.01
