[0] Quadro RTX 8000 | 57°C,   4 % |   801 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   4 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   4 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |   837 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |   847 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |   999 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   9 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   9 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1125 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1277 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   7 % |  1391 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   4 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   4 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1403 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1407 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   7 % |  1555 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   5 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   5 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |  1671 / 49152 MB
