[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 39°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 39°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 39°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 39°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 40°C,   0 % |    13 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   2 % |    17 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   2 % |   165 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   4 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   4 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   1 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 41°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   0 % |   291 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   3 % |   523 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   3 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   4 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   1 % |   569 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   1 % |   721 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   4 % |   731 / 49152 MB
[0] Quadro RTX 8000 | 42°C,   4 % |   857 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   4 % |   865 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   7 % |  1241 / 49152 MB
[0] Quadro RTX 8000 | 43°C,  13 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 43°C,  13 % |  1411 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   8 % |  1635 / 49152 MB
[0] Quadro RTX 8000 | 43°C,   4 % |  1681 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   4 % |  1833 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   8 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   4 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   4 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  1959 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2111 / 49152 MB
[0] Quadro RTX 8000 | 44°C,  11 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   2 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   2 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 44°C,   1 % |  2227 / 49152 MB
