Linux 5.15.0-136-generic (qiang-gpu6) 	09/23/25 	_x86_64_	(10 CPU)

11:10:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:10:53     all   41.88    0.00    8.58    0.00    0.00    8.27    0.00    0.00    0.00   41.27
11:10:54     all   36.56    0.00   12.22    0.10    0.00    8.45    0.00    0.00    0.00   42.67
11:10:55     all   35.48    0.00    6.13    0.00    0.00    8.38    0.00    0.00    0.00   50.00
11:10:56     all   37.16    0.00    7.72    0.00    0.00    8.53    0.00    0.00    0.00   46.60
11:10:57     all   37.71    0.00    9.20    0.00    0.00    7.68    0.00    0.00    0.00   45.40
11:10:58     all   35.91    0.00    7.52    0.00    0.00    8.53    0.00    0.00    0.00   48.04
11:10:59     all   36.57    0.00    6.44    0.20    0.00    7.66    0.00    0.00    0.00   49.13
11:11:00     all   36.19    0.00    6.35    0.00    0.00    8.77    0.00    0.00    0.00   48.69
11:11:01     all   37.53    0.00    5.17    0.00    0.00    9.33    0.00    0.00    0.00   47.97
11:11:02     all   35.63    0.00    5.48    0.00    0.00    8.83    0.00    0.00    0.00   50.05
11:11:03     all   37.27    0.00    5.85    0.00    0.00    8.52    0.00    0.00    0.00   48.36
11:11:04     all   35.40    0.00    5.39    0.20    0.00    7.93    0.00    0.00    0.00   51.07
11:11:05     all   34.99    0.00    5.07    0.00    0.00    7.91    0.00    0.00    0.00   52.03
11:11:06     all   35.13    0.00    5.48    0.00    0.00    7.92    0.00    0.00    0.00   51.47
11:11:07     all   36.00    0.00    6.05    0.00    0.00    8.51    0.00    0.00    0.00   49.44
11:11:08     all   36.10    0.00    7.60    0.00    0.00    8.10    0.00    0.00    0.00   48.20
11:11:09     all   37.49    0.00    6.13    0.10    0.00    7.54    0.00    0.00    0.00   48.74
11:11:10     all   35.19    0.00    6.39    0.00    0.00    7.91    0.00    0.00    0.00   50.51
11:11:11     all   35.59    0.00    5.06    0.00    0.00    8.19    0.00    0.00    0.00   51.16
11:11:12     all   36.55    0.00    5.82    0.00    0.00    8.73    0.00    0.00    0.00   48.90
11:11:13     all   37.01    0.00    6.37    0.00    0.00    8.39    0.00    0.00    0.00   48.23
11:11:14     all   36.60    0.00    4.79    0.10    0.00    7.95    0.00    0.00    0.00   50.56
11:11:15     all   35.68    0.00    6.32    0.00    0.00    8.77    0.00    0.00    0.00   49.24
11:11:16     all   34.85    0.00    6.38    0.00    0.00    8.11    0.00    0.00    0.00   50.66
11:11:17     all   34.28    0.00    6.07    0.00    0.00    8.19    0.00    0.00    0.00   51.47
11:11:18     all   37.12    0.00    6.39    0.00    0.00    8.42    0.00    0.00    0.00   48.07
11:11:19     all   36.14    0.00    6.80    0.41    0.00    8.22    0.00    0.00    0.00   48.43
11:11:20     all   34.96    0.00    4.88    0.00    0.00    8.54    0.00    0.00    0.00   51.63
11:11:21     all   36.13    0.00    5.26    0.00    0.00    8.10    0.00    0.00    0.00   50.51
11:11:22     all   35.65    0.00    5.94    0.00    0.00    8.26    0.00    0.00    0.00   50.15
11:11:23     all   37.18    0.00    5.67    0.00    0.00    8.51    0.00    0.00    0.00   48.63
11:11:24     all   36.02    0.00    5.31    0.31    0.00    8.47    0.00    0.00    0.00   49.90
11:11:25     all   35.19    0.00    4.85    0.00    0.00    8.39    0.00    0.00    0.00   51.57
11:11:26     all   36.69    0.00    5.59    0.00    0.00    7.62    0.00    0.00    0.00   50.10
11:11:27     all   35.71    0.00    4.80    0.00    0.00    7.76    0.00    0.00    0.00   51.73
11:11:28     all   35.81    0.00    8.24    0.00    0.00    8.14    0.00    0.00    0.00   47.81
11:11:29     all   36.86    0.00    6.21    0.10    0.00    8.66    0.00    0.00    0.00   48.17
11:11:30     all   35.02    0.00    5.95    0.00    0.00    9.08    0.00    0.00    0.00   49.95
11:11:31     all   37.17    0.00    4.65    0.00    0.00    8.59    0.00    0.00    0.00   49.60
11:11:32     all   36.15    0.00    5.84    0.00    0.00    8.16    0.00    0.00    0.00   49.85
11:11:33     all   35.41    0.00    6.63    0.00    0.00    8.37    0.00    0.00    0.00   49.59
11:11:34     all   35.78    0.00    5.91    0.20    0.00    8.56    0.00    0.00    0.00   49.54
11:11:35     all   35.53    0.00    6.07    0.00    0.00    8.91    0.00    0.00    0.00   49.49
11:11:36     all   35.43    0.00    5.89    0.00    0.00    8.83    0.00    0.00    0.00   49.85
11:11:37     all   36.13    0.00    5.36    0.00    0.00    8.00    0.00    0.00    0.00   50.51
11:11:38     all   37.37    0.00    6.62    0.00    0.00    8.35    0.00    0.00    0.00   47.66
11:11:39     all   36.23    0.00    6.56    0.20    0.00    8.07    0.00    0.00    0.00   48.94
11:11:40     all   35.27    0.00    5.50    0.00    0.00    7.95    0.00    0.00    0.00   51.27
11:11:41     all   35.76    0.00    5.76    0.00    0.00    8.28    0.00    0.00    0.00   50.20
11:11:42     all   36.23    0.00    6.07    0.10    0.00    7.89    0.00    0.00    0.00   49.70
11:11:43     all   35.76    0.00    5.94    0.00    0.00    8.71    0.00    0.00    0.00   49.59
11:11:44     all   36.36    0.00    4.95    0.20    0.00    8.18    0.00    0.00    0.00   50.30
11:11:45     all   35.00    0.00    5.61    0.00    0.00    8.67    0.00    0.00    0.00   50.71
