[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 56°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |     0 / 49152 MB
[0] Quadro RTX 8000 | 57°C,   0 % |    13 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |    13 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |    13 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   0 % |   165 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   2 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   4 % |   281 / 49152 MB
[0] Quadro RTX 8000 | 58°C,   4 % |   291 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   3 % |   443 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   3 % |   523 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   4 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   1 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |   559 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |   569 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   0 % |   579 / 49152 MB
[0] Quadro RTX 8000 | 59°C,   4 % |   619 / 49152 MB
[0] Quadro RTX 8000 | 60°C,   4 % |   963 / 49152 MB
[0] Quadro RTX 8000 | 60°C,   9 % |   999 / 49152 MB
[0] Quadro RTX 8000 | 60°C,   5 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 60°C,   5 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 60°C,   0 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 60°C,   0 % |  1125 / 49152 MB
[0] Quadro RTX 8000 | 60°C,   1 % |  1133 / 49152 MB
[0] Quadro RTX 8000 | 60°C,   6 % |  1357 / 49152 MB
[0] Quadro RTX 8000 | 60°C,   6 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 60°C,   4 % |  1403 / 49152 MB
[0] Quadro RTX 8000 | 60°C,   8 % |  1555 / 49152 MB
[0] Quadro RTX 8000 | 60°C,   8 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 60°C,   4 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 60°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 60°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  1681 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  1681 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  1689 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   8 % |  1913 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   8 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   5 % |  1959 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   9 % |  2111 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   9 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   5 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   5 % |  2237 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2389 / 49152 MB
[0] Quadro RTX 8000 | 61°C,  14 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,  14 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   1 % |  2505 / 49152 MB
[0] Quadro RTX 8000 | 61°C,   0 % |  2505 / 49152 MB
