Linux 5.15.0-136-generic (qiang-gpu6) 	09/23/25 	_x86_64_	(10 CPU)

11:20:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:20:20     all   55.20    0.00    7.37    0.10    0.00    7.87    0.00    0.00    0.00   29.47
11:20:21     all   57.62    0.00   10.19    0.00    0.00    7.97    0.00    0.00    0.00   24.22
11:20:22     all   56.91    0.00   11.10    0.00    0.00    7.47    0.00    0.00    0.00   24.52
11:20:23     all   56.72    0.00    8.19    0.00    0.00    8.19    0.00    0.00    0.00   26.90
11:20:24     all   55.06    0.00    9.42    0.00    0.00    8.43    0.00    0.00    0.00   27.08
11:20:25     all   54.69    0.00    7.06    0.10    0.00    7.97    0.00    0.00    0.00   30.17
11:20:26     all   54.74    0.00    7.54    0.00    0.00    7.95    0.00    0.00    0.00   29.77
11:20:27     all   54.90    0.00    9.61    0.00    0.00    8.09    0.00    0.00    0.00   27.40
11:20:28     all   55.83    0.00    7.67    0.00    0.00    7.87    0.00    0.00    0.00   28.63
11:20:29     all   52.02    0.00    7.79    0.00    0.00    8.10    0.00    0.00    0.00   32.09
11:20:30     all   55.07    0.00    7.12    0.10    0.00    7.82    0.00    0.00    0.00   29.89
11:20:31     all   54.43    0.00    6.74    0.00    0.00    7.75    0.00    0.00    0.00   31.09
11:20:32     all   56.21    0.00    7.52    0.00    0.00    8.02    0.00    0.00    0.00   28.26
11:20:33     all   54.96    0.00    8.63    0.00    0.00    8.83    0.00    0.00    0.00   27.58
11:20:34     all   53.11    0.00    7.21    0.00    0.00    8.62    0.00    0.00    0.00   31.06
11:20:35     all   54.89    0.00    5.70    0.20    0.00    7.54    0.00    0.00    0.00   31.67
11:20:36     all   54.37    0.00    8.04    0.00    0.00    8.44    0.00    0.00    0.00   29.15
11:20:37     all   53.88    0.00    7.06    0.00    0.00    8.07    0.00    0.00    0.00   30.98
11:20:38     all   53.68    0.00    7.57    0.00    0.00    9.18    0.00    0.00    0.00   29.57
11:20:39     all   54.90    0.00    6.22    0.00    0.00    7.24    0.00    0.00    0.00   31.63
11:20:40     all   54.22    0.00    5.29    0.20    0.00    7.63    0.00    0.00    0.00   32.66
11:20:41     all   55.16    0.00    6.31    0.00    0.00    7.31    0.00    0.00    0.00   31.23
11:20:42     all   55.94    0.00    6.40    0.00    0.00    8.12    0.00    0.00    0.00   29.54
11:20:43     all   54.59    0.00    6.26    0.00    0.00    7.37    0.00    0.00    0.00   31.79
11:20:44     all   54.44    0.00    6.06    0.00    0.00    7.68    0.00    0.00    0.00   31.82
11:20:45     all   54.41    0.00    6.28    0.10    0.00    8.71    0.00    0.00    0.00   30.50
11:20:46     all   54.72    0.00    7.41    0.00    0.00    8.63    0.00    0.00    0.00   29.24
11:20:47     all   55.42    0.00    7.46    0.00    0.00    8.08    0.00    0.00    0.00   29.04
11:20:48     all   55.13    0.00    5.89    0.00    0.00    7.21    0.00    0.00    0.00   31.78
11:20:49     all   55.48    0.00    6.67    0.00    0.00    8.76    0.00    0.00    0.00   29.08
11:20:50     all   54.72    0.00    6.73    0.20    0.00    8.73    0.00    0.00    0.00   29.62
11:20:51     all   54.85    0.00    6.36    0.00    0.00    6.57    0.00    0.00    0.00   32.22
11:20:52     all   54.51    0.00    6.99    0.00    0.00    8.81    0.00    0.00    0.00   29.69
11:20:53     all   55.28    0.00    6.61    0.00    0.00    7.93    0.00    0.00    0.00   30.18
11:20:54     all   53.88    0.00    7.47    0.00    0.00    9.08    0.00    0.00    0.00   29.57
11:20:55     all   55.06    0.00    5.77    0.20    0.00    7.49    0.00    0.00    0.00   31.48
11:20:56     all   56.45    0.00    6.15    0.00    0.00    8.17    0.00    0.00    0.00   29.23
11:20:57     all   53.07    0.00    9.16    0.00    0.00    9.16    0.00    0.00    0.00   28.60
11:20:58     all   55.10    0.00    6.22    0.00    0.00    7.45    0.00    0.00    0.00   31.22
11:20:59     all   53.71    0.00    6.70    0.00    0.00    9.14    0.00    0.00    0.00   30.46
11:21:00     all   53.53    0.00    6.45    0.20    0.00    8.97    0.00    0.00    0.00   30.85
11:21:01     all   54.55    0.00    6.89    0.00    0.00    7.99    0.00    0.00    0.00   30.57
11:21:02     all   54.62    0.00    7.23    0.00    0.00    7.63    0.00    0.00    0.00   30.52
11:21:03     all   54.55    0.00    7.91    0.00    0.00    7.81    0.00    0.00    0.00   29.73
11:21:04     all   54.72    0.00    6.50    0.00    0.00    8.43    0.00    0.00    0.00   30.36
11:21:05     all   55.02    0.00    5.12    0.10    0.00    8.09    0.00    0.00    0.00   31.66
