[0] Quadro RTX 8000 | 52°C,   0 % |   847 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |   855 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   6 % |   999 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   6 % |  1079 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   4 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   1 % |  1115 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   1 % |  1125 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |  1125 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |  1277 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   7 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   4 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   4 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 52°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   1 % |  1393 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   1 % |  1403 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |  1403 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   8 % |  1555 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   8 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   4 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   1 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |  1671 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |  1681 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |  1681 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |  1681 / 49152 MB
[0] Quadro RTX 8000 | 53°C,  10 % |  1833 / 49152 MB
[0] Quadro RTX 8000 | 53°C,  10 % |  1833 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   3 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   3 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   2 % |  1949 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   1 % |  1959 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |  1959 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   0 % |  1959 / 49152 MB
[0] Quadro RTX 8000 | 53°C,  10 % |  2111 / 49152 MB
[0] Quadro RTX 8000 | 53°C,  10 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 53°C,   6 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   1 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |  2227 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |  2237 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |  2237 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |  2389 / 49152 MB
[0] Quadro RTX 8000 | 54°C,  13 % |  2481 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   5 % |  2517 / 49152 MB
[0] Quadro RTX 8000 | 54°C,  11 % |  2669 / 49152 MB
[0] Quadro RTX 8000 | 54°C,  11 % |  2749 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   6 % |  2785 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |  2785 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |  2795 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   1 % |  2795 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   1 % |  2947 / 49152 MB
[0] Quadro RTX 8000 | 54°C,  14 % |  2947 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   1 % |  3027 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   1 % |  3063 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   4 % |  3063 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |  3063 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   1 % |  3073 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   1 % |  3073 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   0 % |  3073 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   1 % |  3081 / 49152 MB
[0] Quadro RTX 8000 | 54°C,  16 % |  3225 / 49152 MB
[0] Quadro RTX 8000 | 54°C,  16 % |  3225 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   1 % |  3337 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   4 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 54°C,   4 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   2 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   2 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   2 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   2 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   2 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   1 % |  3341 / 49152 MB
[0] Quadro RTX 8000 | 55°C,   0 % |  3341 / 49152 MB
